galaxy_id,radius_arcsec,mu_r,muerr_r,ellipticity
WALLABY J124747+042017,0.262,19.988613892011884,0.0025934355982067266,0.05313182709876901
WALLABY J124747+042017,0.2882,20.000334446395684,0.002468169663650839,0.05313182709876901
WALLABY J124747+042017,0.3170200000000001,20.01412203792991,0.0023179308601693647,0.05313182709876901
WALLABY J124747+042017,0.34872200000000014,20.03034293777332,0.002064162746853411,0.05313182709876901
WALLABY J124747+042017,0.38359420000000016,20.051385966369573,0.0017403988062334428,0.05313182709876901
WALLABY J124747+042017,0.4219536200000002,20.073969321000817,0.0013777243346437807,0.05313182709876901
WALLABY J124747+042017,0.4641489820000003,20.098364766948343,0.0010051570255831923,0.05313182709876901
WALLABY J124747+042017,0.5105638802000004,20.126577729015203,0.0007426084630584047,0.05313182709876901
WALLABY J124747+042017,0.5616202682200004,20.157945211566194,0.000666994533386191,0.052744859578949865
WALLABY J124747+042017,0.6177822950420006,20.193458326194758,0.001136075214584954,0.05254207275344852
WALLABY J124747+042017,0.6795605245462006,20.230426609744512,0.002308750646404603,0.05370171960212605
WALLABY J124747+042017,0.7475165770008207,20.26755594740824,0.0032172458268267235,0.058372074757364334
WALLABY J124747+042017,0.8222682347009029,20.304313601812154,0.004090849293765111,0.07159546824412416
WALLABY J124747+042017,0.9044950581709934,20.33621422704754,0.004702324557852853,0.09777057601984462
WALLABY J124747+042017,0.9949445639880927,20.368612234545424,0.004880817724110487,0.12690860420362843
WALLABY J124747+042017,1.0944390203869019,20.396237722991934,0.005530825628838416,0.14905667851674287
WALLABY J124747+042017,1.2038829224255923,20.42975607456922,0.006162143264019194,0.17529635246175246
WALLABY J124747+042017,1.3242712146681515,20.456388278097542,0.006210762771207076,0.20829429854107073
WALLABY J124747+042017,1.4566983361349666,20.4760926455265,0.00602598770672678,0.24160821178245045
WALLABY J124747+042017,1.6023681697484635,20.50437494426901,0.006115030050004029,0.2721647886019374
WALLABY J124747+042017,1.7626049867233098,20.5304652386895,0.006248471779553983,0.3014691319558741
WALLABY J124747+042017,1.938865485395641,20.555478052037074,0.0064479662639786535,0.3332872111347988
WALLABY J124747+042017,2.1327520339352053,20.57478960742911,0.007366622164750091,0.37136893398591986
WALLABY J124747+042017,2.346027237328726,20.59122910152098,0.008509067257787191,0.4097839379512105
WALLABY J124747+042017,2.580629961061599,20.606897380172995,0.009394076915615007,0.44044046608448095
WALLABY J124747+042017,2.8386929571677584,20.631995957597553,0.010196939457345705,0.4599968812290165
WALLABY J124747+042017,3.1225622528845345,20.675423995099948,0.009903354083370546,0.4681880016477848
WALLABY J124747+042017,3.4348184781729882,20.719972698939046,0.008734565563690231,0.4683151345814899
WALLABY J124747+042017,3.7783003259902874,20.75589931394415,0.007737045668561289,0.46669201423227263
WALLABY J124747+042017,4.156130358589317,20.803944924500236,0.007082473238292719,0.4726033732113764
WALLABY J124747+042017,4.571743394448249,20.843578223816777,0.006825783721906187,0.48659300494052565
WALLABY J124747+042017,5.028917733893073,20.888785327896827,0.0065546714169401055,0.5004527296774625
WALLABY J124747+042017,5.531809507282381,20.92318517281761,0.00708125967688939,0.5235600415189573
WALLABY J124747+042017,6.08499045801062,20.926190747666155,0.007043842653804797,0.5659109935712923
WALLABY J124747+042017,6.693489503811683,21.030277993233724,0.008643637012751013,0.5174344648287821
WALLABY J124747+042017,7.36283845419285,21.373809333224415,0.015937005946521983,0.2655465784634461
WALLABY J124747+042017,8.099122299612137,21.519983786834743,0.015372790216463652,0.14032870788704505
WALLABY J124747+042017,8.90903452957335,21.597590523869933,0.014790679641576002,0.11820056797678502
WALLABY J124747+042017,9.799937982530686,21.638794282276827,0.01493743672787669,0.12251349405082129
WALLABY J124747+042017,10.779931780783755,21.70679284567123,0.014995316011914806,0.12358275587544809
WALLABY J124747+042017,11.857924958862132,21.76359406912134,0.016148970504855968,0.11999421180589787
WALLABY J124747+042017,13.043717454748347,21.823692027813465,0.017799544353728717,0.11744050765864478
WALLABY J124747+042017,14.348089200223182,21.882939132282566,0.017511289316914407,0.11947056579463983
WALLABY J124747+042017,15.7828981202455,21.924179639722333,0.01463479722658859,0.12771575792247397
WALLABY J124747+042017,17.361187932270052,22.047669119699144,0.01359211174876353,0.1352905248863115
WALLABY J124747+042017,19.09730672549706,22.149701549662808,0.011836101784964935,0.133513686087541
WALLABY J124747+042017,21.007037398046766,22.281624453493812,0.010291538909742194,0.12392231695316791
WALLABY J124747+042017,23.107741137851445,22.420056756146288,0.009446614376141976,0.11353646877288315
WALLABY J124747+042017,25.41851525163659,22.458733815353156,0.009855633253464339,0.11086021979047528
WALLABY J124747+042017,27.960366776800253,22.529473141584837,0.008176150177086117,0.11609153150361207
WALLABY J124747+042017,30.75640345448028,22.61781166962254,0.007421148297696158,0.11806479618927906
WALLABY J124747+042017,33.83204379992831,22.794881607822056,0.008630461978216727,0.11342228570769652
WALLABY J124747+042017,37.21524817992115,22.991165071054432,0.010433599679831937,0.11075828002594229
WALLABY J124747+042017,40.93677299791326,23.205010845215043,0.009336332094480112,0.11183304903808844
WALLABY J124747+042017,45.03045029770459,23.352375530963776,0.008269091029878743,0.11298419510898877
WALLABY J124747+042017,49.53349532747505,23.432088874844965,0.008918256256849274,0.11305975939296514
WALLABY J124747+042017,54.48684486022256,23.66221018853531,0.011696556560778849,0.11275091634709006
