galaxy_id,field_id,release_phase,distance_mpc,logMstar,logMHI,ell_maj_beams,robust_sample,full_stellar
WALLABY J124747+042017,NGC4808,2,14.096033774125186,9.1407235842642,9.142746534547376,4.990312706751042,True,True
WALLABY J124805+065910,NGC4808,2,191.87696574141137,,10.233681799891393,1.3164908930615624,False,False
WALLABY J124822+082925,NGC4808,2,14.339243618266547,,9.051743506966991,9.884233793639,False,False
WALLABY J124911+032310,NGC4808,2,10.378078085105273,9.002323743631573,9.070780502424217,6.551173702381514,True,True
WALLABY J124915+043926,NGC4808,2,38.14560329437675,,9.370508789718214,2.632843786195096,False,False
WALLABY J124923+050820,NGC4808,2,177.32383048925374,,9.933607451460231,1.2018956679557862,False,False
WALLABY J124925+042328,NGC4808,2,37.734103118898936,,9.121215529902514,2.0941427076698362,False,False
WALLABY J124935+033620,NGC4808,2,101.36450745470123,9.86818661712835,9.456857162549015,1.1912473846787848,True,True
WALLABY J124937+074725,NGC4808,2,234.9691582459483,9.829770571134219,10.005996300195132,1.3268911092049434,True,True
WALLABY J124944+044608,NGC4808,2,120.45109854177848,,9.656254621006218,1.5667076417026304,False,False
WALLABY J124947+035042,NGC4808,2,9.934752825343148,7.3464010278706775,8.117000977372637,2.82143953800057,True,True
WALLABY J124950+025100,NGC4808,2,16.638709549795898,,8.62462579560936,3.1251568734161337,False,False
WALLABY J124957+040438,NGC4808,2,145.41677464050812,8.99590194558559,9.667916752412557,1.0843849827260277,True,True
WALLABY J124959+054921,NGC4808,2,8.969202365967332,,7.223925913620026,1.3329496087871635,False,False
WALLABY J125012+073442,NGC4808,2,163.52956694530005,10.809439390958373,10.240628946764588,2.7195712816357,True,True
WALLABY J125103+072753,NGC4808,2,216.84320660294952,,9.837686261468553,1.1402657447439717,False,False
WALLABY J125112+045132,NGC4808,2,107.62385091643337,10.861891625024553,9.970032958698596,1.7941114074632936,True,True
WALLABY J125114+052031,NGC4808,2,107.36059957704644,9.433905815049805,9.586701255646037,1.4999257518074944,True,True
WALLABY J125119+053108,NGC4808,2,204.81355559526293,,9.826325069220841,0.9902085023280666,False,False
WALLABY J125121+063829,NGC4808,2,214.23398297625994,9.706977670659334,9.857468398871994,0.9468753188576049,True,True
WALLABY J125127+054748,NGC4808,2,206.65809217715713,,10.229940506066084,2.061883484303426,False,False
WALLABY J125133+080241,NGC4808,2,51.3775869660559,8.77402873603408,9.081303856772864,2.027908762812944,True,True
WALLABY J125134+055147,NGC4808,2,208.61136972267892,10.746620742209737,9.92575690599399,1.1807398389177657,True,True
WALLABY J125156+035954,NGC4808,2,109.83768194320942,8.76018568945857,9.530017065519814,1.503170249433096,True,True
WALLABY J125211+043045,NGC4808,2,276.0070176777949,,10.109391095176358,1.6396340395180071,False,False
WALLABY J125215+042728,NGC4808,2,10.00945833195292,,7.590380831356316,1.4650208366428996,False,False
WALLABY J125224+071046,NGC4808,2,213.48467668715105,,10.105435318389034,1.13732245677634,False,False
WALLABY J125233+031517,NGC4808,2,208.54415590275045,,10.033285616607463,1.366171961529588,False,False
WALLABY J125243+075643,NGC4808,2,165.42679427847636,9.91870307890713,9.859221344136813,1.7487873728267487,True,True
WALLABY J125258+073025,NGC4808,2,229.0625458285333,,10.1755103771386,1.5443491096290518,False,False
WALLABY J125303+070944,NGC4808,2,217.16214592785272,,9.904830084825802,1.5347725749294097,False,False
WALLABY J125308+081035,NGC4808,2,212.0102361002386,,9.61030554559534,1.3118465489832298,True,False
WALLABY J125311+032639,NGC4808,2,39.91027206101794,,8.700038495621174,1.6940868895543282,False,False
WALLABY J125313+042746,NGC4808,2,10.352223491641153,,8.606759166370725,3.4690300063876998,False,False
WALLABY J125334+060947,NGC4808,2,192.3081396050859,,9.655900227256254,1.1464123238674462,False,False
WALLABY J125339+040434,NGC4808,2,12.669839249570481,7.39095199627673,7.1300555345454795,0.7983917373646042,True,True
WALLABY J125340+064728,NGC4808,2,108.86002383564106,,9.476694468876198,1.1145227189257096,False,False
WALLABY J125341+034603,NGC4808,2,280.6607573678,,10.514955903710625,1.498256561201097,False,False
WALLABY J125343+040920,NGC4808,2,10.904099666985388,,7.223658630742214,1.0713347443634533,False,False
WALLABY J125413+052149,NGC4808,2,206.7378099863384,10.53562253660269,10.20890243350081,1.434818019602466,True,True
WALLABY J125413+065150,NGC4808,2,295.796797270404,,9.999673693710307,0.8663773742156284,False,False
WALLABY J125419+064115,NGC4808,2,51.95077480053546,,8.499525546124469,0.8879659977280978,False,False
WALLABY J125431+050959,NGC4808,2,280.47130179229583,,10.151820014598135,1.1929687921089456,False,False
WALLABY J125441+050734,NGC4808,2,179.82086524821628,9.20576171505639,9.473987184671877,0.8124250277725882,True,True
WALLABY J125443+050110,NGC4808,2,152.36900242096124,,9.555799052515432,1.1946839206974005,False,False
WALLABY J125443+080310,NGC4808,2,35.96011237187178,,8.079973222851944,0.8716594666383101,False,False
WALLABY J125445+045357,NGC4808,2,106.45554615897352,,9.53132847968803,1.1922554576747362,False,False
WALLABY J125450+072542,NGC4808,2,214.43232261625855,,10.201282177688123,1.2283188219815186,False,False
WALLABY J125451+023900,NGC4808,2,13.301476139383134,8.279717468048384,8.835505457605873,2.686835797061398,True,True
WALLABY J125500+051140,NGC4808,2,282.000480800024,9.45187864142097,10.054921043294051,1.0499351126470962,True,True
WALLABY J125507+040229,NGC4808,2,206.74757469014799,10.906492035215246,9.849362835202884,1.3537002027657896,True,True
WALLABY J125509+075453,NGC4808,2,37.88367714379506,,8.793979905191776,1.7406887221316514,False,False
WALLABY J125513+080246,NGC4808,2,39.24238623170463,,8.330413980963662,1.440300636443102,False,False
WALLABY J125515+081543,NGC4808,2,305.5150819400749,11.086342500890783,10.4490389997833,2.569645157548418,True,True
WALLABY J125516+025347,NGC4808,2,40.22557547357599,,9.425409732116071,4.386655459504994,False,False
WALLABY J125520+050620,NGC4808,2,153.20553605449672,,9.680402430712906,1.2051176345023742,False,False
WALLABY J125523+075436,NGC4808,2,40.087366445067914,9.598892528773764,8.776928957775622,1.4474649706388336,True,True
WALLABY J125548+041805,NGC4808,2,10.823171488195088,,9.317548741913706,8.547033101275861,False,False
WALLABY J125548+045901,NGC4808,2,209.46690014413463,,10.223297029937642,1.3945713829344846,True,False
WALLABY J125549+040049,NGC4808,2,10.242337079602523,,8.612263192280468,3.778851712937444,False,False
WALLABY J125556+075542,NGC4808,2,178.36754075531408,,9.830999170873174,1.1469141268351444,False,False
WALLABY J125603+045202,NGC4808,2,19.62626665196087,,7.7710374877479165,1.166718168500013,True,False
WALLABY J125604+034843,NGC4808,2,8.845517427747259,7.205893600269833,8.333991227730554,3.2105825457334176,True,True
WALLABY J125604+064914,NGC4808,2,51.60664433457046,7.801189112347697,8.949214009715627,1.3078547836768046,True,True
