checkfit_json,common_aperture_arcsec,contained,frame_status,galaxy_id,logMstar,logMstar_method_sd,n_intersecting_bricks,n_retained,pair_to_next_abs_delta_background_over_mean_RMS,pair_to_next_abs_delta_common_aperture_arcsec,pair_to_next_abs_delta_log10_Mstar_dex,pair_to_next_abs_delta_stage1_R50_arcsec,pair_to_next_pass,r_background,r_background_rms,reason,safe_radius_arcsec,size_pix,stage1_R50_arcsec,stage1_Rd_arcsec
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",27.960366776800253,True,success,WALLABY J124935+033620,9.869262316739158,0.17105323077658727,2,50,0.0248136308646009,0.0,0.001075699610808556,0.0067597759083115605,False,8.23673e-05,0.0011355,,128.71012,1024,5.735501084127233,3.417351190334186
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",27.960366776800253,True,success,WALLABY J124935+033620,9.86818661712835,0.1703332875492552,2,50,0.003582624667744008,0.0,0.0048642089247064035,0.0006974733804598898,True,0.000110467,0.00112936,,162.24612,1280,5.728741308218922,3.413323551265197
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",27.960366776800253,True,success,WALLABY J124935+033620,9.863322408203643,0.1721237095102817,2,50,,,,,,0.00010641,0.00113546,,195.78212,1536,5.729438781599382,3.413739122886923
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",27.960366776800253,True,success,WALLABY J124937+074725,9.845389916991493,0.13026820087796445,1,50,0.01386660183159089,0.0,0.015619345857274425,0.365889726172834,False,-1.34955e-05,0.00584422,,129.06382000000002,1024,6.132041525669539,3.6536196401249947
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",27.960366776800253,True,success,WALLABY J124937+074725,9.829770571134219,0.12104004632953441,1,50,0.0017980880472508072,0.0,0.0028983645910365397,0.15591799696663688,True,6.52105e-05,0.00550766,,162.59982000000002,1280,5.766151799496705,3.435613632815861
"{""g"": {}, ""r"": {""FFT coefficients"": true, ""Light symmetry"": true, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",27.960366776800253,True,success,WALLABY J124937+074725,9.832668935725255,0.11400380122887598,2,50,,,,,,5.54656e-05,0.00533152,,196.13582000000002,1536,5.610233802530068,3.342713894028777
"{""g"": {}, ""r"": {""FFT coefficients"": false, ""Light symmetry"": false, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",54.48684486022256,True,success,WALLABY J124947+035042,7.32121797064736,0.1507585249254134,2,57,0.021985429764675563,0.0,0.025183057223317817,0.139636532351874,False,0.000131089,0.00125664,,122.616,1024,14.88432657295282,8.868444166486137
"{""g"": {}, ""r"": {""FFT coefficients"": false, ""Light symmetry"": false, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",54.48684486022256,True,success,WALLABY J124947+035042,7.3464010278706775,0.1473275763713549,2,57,0.0019708202965583034,0.0,0.01570220172590453,0.09235379190094228,True,0.000157963,0.00118807,,156.15200000000002,1280,15.023963105304693,8.951643012244777
"{""g"": {}, ""r"": {""FFT coefficients"": false, ""Light symmetry"": false, ""initial fit compare"": true, ""isophote variability"": true}, ""z"": {}}",54.48684486022256,True,success,WALLABY J124947+035042,7.362103229596582,0.14559910770508078,2,57,,,,,,0.000155645,0.00116425,,189.68800000000002,1536,14.93160931340375,8.896616374457542
"{""g"": {}, ""r"": {""FFT coefficients"": false, ""Light symmetry"": false, ""initial fit compare"": true, ""isophote variability"": false}, ""z"": {}}",13.043717454748347,True,success,WALLABY J124957+040438,8.759073067487385,0.13282084257147228,2,42,0.0014572582758714163,3.2437794722176605,0.07484409912097512,0.16092413588153498,False,4.62873e-05,0.0011165,,128.29092,1024,6.5398910076383805,3.8966262915474115
