name,ra,dec,dist_h,ell_maj,ell_min,ell_pa,log_m_hi,log_m_hi_corr,rel,rms,team_release,qflag
WALLABY J101655-485238,154.2297749022268,-48.8773454083931,39.22986770299381,38.21051728375561,21.87322711006504,17.80994806306344,10.239972898827773,10.308940095628625,1.0,0.005805636959464781,Vela TR1,4.0
WALLABY J101457-433710,153.7377914732147,-43.61965737500125,43.355501051420326,36.50557562826244,8.699923970089253,80.2409382853523,10.064794974690047,10.143259928052432,1.0,0.003085121603194475,Vela TR1,0.0
WALLABY J094919-475749,147.3313894420345,-47.96376325069142,27.560238637308043,53.86839615851112,11.70581139443884,-16.04467143476631,9.553815922734787,9.636825681832978,1.0,0.001981910100245848,Vela TR1,0.0
WALLABY J101219-471739,153.0816577346399,-47.29432561544795,36.18679181114248,21.22829513715651,4.978383603912969,-69.21860969227984,9.746423594087654,9.831178735412287,1.0,0.001889055690451049,Vela TR1,0.0
WALLABY J100550-441338,151.4598550789682,-44.22724474526973,47.55962814762239,24.14870549949509,15.23638494418089,23.51043660567325,9.867093926283049,9.95660717781554,1.0,0.001635744182445099,Vela TR1,0.0
WALLABY J094622-463856,146.5939203377487,-46.64899043738142,38.56733807118059,22.39211363904855,4.780447935310531,4.178411690416738,9.668192102411753,9.758407433479919,1.0,0.00177539670941066,Vela TR1,0.0
WALLABY J101232-451408,153.1359537820738,-45.23571521552709,58.83606827812438,17.4637940306281,12.91200089149992,-12.65770639142245,10.0335053849293,10.12378478791454,1.0,0.001870533981552435,Vela TR1,0.0
WALLABY J100656-450242,151.7347815011327,-45.04507462855512,55.740823279771824,13.34714256818088,7.220198554547014,69.27864555063123,9.873851358482609,9.968919568875581,1.0,0.001541952567604062,Vela TR1,0.0
WALLABY J100916-431959,152.3183582804295,-43.33309955638129,65.69942184930298,20.13936026508464,13.27797708289223,77.46833559097253,10.00290143679573,10.098564019575427,1.0,0.002143222505935202,Vela TR1,0.0
WALLABY J095710-485624,149.2946729781148,-48.94016897211922,53.235110071761035,18.3465464027312,14.95748661503005,20.42490688176076,9.671752397853833,9.77399712590062,1.0,0.004411811806888975,Vela TR1,0.0
WALLABY J094524-480828,146.3525983751377,-48.1411600342557,12.618986431650834,17.11859566889198,6.236088125646935,32.38599651134831,8.419334262387553,8.521672836713119,1.0,0.002251629686764364,Vela TR1,0.0
WALLABY J101330-434301,153.3753450044368,-43.71700135586159,65.21067278404824,12.38873250555175,5.129741244698808,-50.23218161582556,9.801404023151315,9.905773457164832,1.0,0.002238880073585611,Vela TR1,4.0
WALLABY J100239-452950,150.6627853167272,-45.49748415018546,50.199163667074316,12.24329632117951,7.685132517047687,33.99131868537404,9.565872161774957,9.670622477589315,1.0,0.001599873392840162,Vela TR1,0.0
