name,ra,dec,freq,f_sum,err_f_sum,f_sum_corr,err_f_sum_corr,rms,w20,w50,kin_pa,rel,qflag,kflag,n_pix,f_min,f_max,ell_maj,ell_min,ell_pa,ell3s_maj,ell3s_min,ell3s_pa,x,err_x,y,err_y,z,err_z,x_min,x_max,y_min,y_max,z_min,z_max,dist_h,log_m_hi,log_m_hi_corr,team_release,comments
WALLABY J101655-485238,154.2297749022268,-48.8773454083931,1.407512971336861E9,227186.6580322475,6769.435699764403,266287.04696905543,7934.502218353405,0.005805636959464781,1809946.485445322,1703609.096101342,17.03254677715239,1.0,4.0,1.0,111531.0,-0.0228363610804081,0.03936710581183434,38.21051728375561,21.87322711006504,17.80994806306344,35.05102884060642,21.22445087574163,16.93488593657295,582.7314569382793,0.213329602120186,457.38563828030976,0.31400255242739,6048.450452176541,0.5104859296974741,249.0,317.0,116.0,203.0,770.0,895.0,39.22986770299381,10.239972898827773,10.308940095628625,Vela TR1,
WALLABY J101457-433710,153.7377914732147,-43.61965737500125,1.406170682468304E9,124265.3841315244,3206.423628209021,148872.72636837367,3841.3676564844145,0.003085121603194475,2059180.950489479,1693051.334084061,261.8878261505604,1.0,0.0,1.0,88611.0,-0.01486574858427048,0.02518730796873569,36.50557562826244,8.699923970089253,80.2409382853523,47.0131309797914,9.872117288944528,81.27144613505763,607.9459532241225,0.3264957943756828,3617.122318940015,0.1068377352265667,5975.966853274389,0.5146111522673321,258.0,357.0,790.0,844.0,683.0,828.0,43.355501051420326,10.064794974690047,10.143259928052432,Vela TR1,
WALLABY J094919-475749,147.3313894420345,-47.96376325069142,1.41132363823963E9,94818.6104673656,2073.309002724818,114789.8178584514,2510.000532743324,0.001981910100245848,1209143.254291085,904070.6856968071,342.9061779872182,1.0,0.0,0.0,89774.0,-0.008474993519484997,0.02383403666317463,53.86839615851112,11.70581139443884,-16.04467143476631,51.86816598646262,12.13707042311078,-15.99577146216838,3318.053585733082,0.1484170783409875,1048.1602791302485,0.3772011120844029,6254.2264649262615,0.2674933726892746,1327.0,1384.0,690.0,790.0,988.0,1085.0,27.560238637308043,9.553815922734787,9.636825681832978,Vela TR1,
WALLABY J101219-471739,153.0816577346399,-47.29432561544795,1.408504689806484E9,85697.28076081812,1442.687848404327,104165.09266693084,1753.5878861538006,0.001889055690451049,1683575.311574849,1594388.19309628,110.9704365015977,1.0,0.0,1.0,47846.0,-0.007548931054770947,0.03813161700963974,21.22829513715651,4.978383603912969,-69.21860969227984,26.5072388784298,6.10259099654529,-68.78397148083157,990.4311749727067,0.1370935059177018,1428.803906619394,0.07370456480574149,6102.003249536247,0.3518050027351072,664.0,717.0,1112.0,1146.0,829.0,943.0,36.18679181114248,9.746423594087654,9.831178735412287,Vela TR1,
WALLABY J100550-441338,151.4598550789682,-44.22724474526973,1.404805486536646E9,65502.91643352644,1683.788473834425,80495.92777561101,2069.192072031308,0.001635744182445099,1684640.162474464,1483012.711570298,39.82955415387087,1.0,0.0,0.0,86923.0,-0.007007533218711615,0.01692946068942547,24.14870549949509,15.23638494418089,23.51043660567325,26.88337521086257,16.15865489530358,25.87364522403493,1604.529694591668,0.1558419795324871,3291.0926050976323,0.2037380776102924,5902.246272964786,0.4003297282255009,1271.0,1334.0,1286.0,1349.0,623.0,752.0,47.55962814762239,9.867093926283049,9.95660717781554,Vela TR1,
