family,color,luminosity_band,intercept_a,slope_b,relation,color_value_mag,log10_L_band_Lsun,log10_Mstar_Msun
RC15_BC03,g-r,g,-0.984000,2.029000,log10_ML=a+b*color,0.7829759965116185,10.262543645037509,10.867201941959582
RC15_BC03,g-r,r,-0.792000,1.629000,log10_ML=a+b*color,0.7829759965116185,10.399734043642155,10.883201941959582
RC15_BC03,g-r,z,-0.796000,1.306000,log10_ML=a+b*color,0.7829759965116185,10.624880920317066,10.851447571761241
RC15_BC03,g-z,g,-1.132000,1.116000,log10_ML=a+b*color,1.4558431881988927,10.262543645037509,10.755264643067473
RC15_BC03,g-z,r,-0.916000,0.900000,log10_ML=a+b*color,1.4558431881988927,10.399734043642155,10.793992913021158
RC15_BC03,g-z,z,-0.888000,0.716000,log10_ML=a+b*color,1.4558431881988927,10.624880920317066,10.779264643067474
RC15_BC03,r-z,g,-1.211000,2.322000,log10_ML=a+b*color,0.6728671916872742,10.262543645037509,10.61394126413536
RC15_BC03,r-z,r,-0.987000,1.883000,log10_ML=a+b*color,0.6728671916872742,10.399734043642155,10.679742965589293
RC15_BC03,r-z,z,-0.935000,1.483000,log10_ML=a+b*color,0.6728671916872742,10.624880920317066,10.687742965589294
RC15_FSPS,g-r,g,-0.811000,1.897000,log10_ML=a+b*color,0.7829759965116185,10.262543645037509,10.936849110420049
RC15_FSPS,g-r,r,-0.647000,1.497000,log10_ML=a+b*color,0.7829759965116185,10.399734043642155,10.924849110420048
RC15_FSPS,g-r,z,-0.583000,1.102000,log10_ML=a+b*color,0.7829759965116185,10.624880920317066,10.90472046847287
RC15_FSPS,g-z,g,-0.764000,0.942000,log10_ML=a+b*color,1.4558431881988927,10.262543645037509,10.869947928320865
RC15_FSPS,g-z,r,-0.612000,0.744000,log10_ML=a+b*color,1.4558431881988927,10.399734043642155,10.870881375662131
RC15_FSPS,g-z,z,-0.548000,0.542000,log10_ML=a+b*color,1.4558431881988927,10.624880920317066,10.865947928320866
RC15_FSPS,r-z,g,-0.670000,1.795000,log10_ML=a+b*color,0.6728671916872742,10.262543645037509,10.800340254116167
RC15_FSPS,r-z,r,-0.539000,1.421000,log10_ML=a+b*color,0.6728671916872742,10.399734043642155,10.816878323029773
RC15_FSPS,r-z,z,-0.487000,1.021000,log10_ML=a+b*color,0.6728671916872742,10.624880920317066,10.824878323029774
Z17_40LG_FSPS,g-r,g,-0.684000,1.575000,log10_ML=a+b*color,0.7829759965116185,10.262543645037509,10.811730839543308
Z17_40LG_FSPS,g-r,r,-0.491000,1.175000,log10_ML=a+b*color,0.7829759965116185,10.399734043642155,10.828730839543308
Z17_40LG_FSPS,g-r,z,-0.447000,0.911000,log10_ML=a+b*color,0.7829759965116185,10.624880920317066,10.891172053139151
Z17_40LG_FSPS,g-z,g,-0.680000,0.928000,log10_ML=a+b*color,1.4558431881988927,10.262543645037509,10.93356612368608
Z17_40LG_FSPS,g-z,r,-0.486000,0.690000,log10_ML=a+b*color,1.4558431881988927,10.399734043642155,10.918265843499391
Z17_40LG_FSPS,g-z,z,-0.438000,0.528000,log10_ML=a+b*color,1.4558431881988927,10.624880920317066,10.955566123686081
Z17_40LG_FSPS,r-z,g,-0.639000,2.157000,log10_ML=a+b*color,0.6728671916872742,10.262543645037509,11.07491817750696
Z17_40LG_FSPS,r-z,r,-0.453000,1.596000,log10_ML=a+b*color,0.6728671916872742,10.399734043642155,11.020630081575046
Z17_40LG_FSPS,r-z,z,-0.404000,1.196000,log10_ML=a+b*color,0.6728671916872742,10.624880920317066,11.025630081575047
Z17_40LG_BC03,g-r,g,-0.745000,1.616000,log10_ML=a+b*color,0.7829759965116185,10.262543645037509,10.782832855400285
Z17_40LG_BC03,g-r,r,-0.552000,1.216000,log10_ML=a+b*color,0.7829759965116185,10.399734043642155,10.799832855400284
Z17_40LG_BC03,g-r,z,-0.501000,0.937000,log10_ML=a+b*color,0.7829759965116185,10.624880920317066,10.857529429048453
