family,color,luminosity_band,intercept_a,slope_b,relation,color_value_mag,log10_L_band_Lsun,log10_Mstar_Msun
RC15_BC03,g-r,g,-0.984000,2.029000,log10_ML=a+b*color,0.6347838973567423,10.404389434484088,10.708365962220919
RC15_BC03,g-r,r,-0.792000,1.629000,log10_ML=a+b*color,0.6347838973567423,10.482302993426785,10.724365962220919
RC15_BC03,g-r,z,-0.796000,1.306000,log10_ML=a+b*color,0.6347838973567423,10.637026795870653,10.67005456581856
RC15_BC03,g-z,g,-1.132000,1.116000,log10_ML=a+b*color,1.1315934034664128,10.404389434484088,10.535247672752606
RC15_BC03,g-z,r,-0.916000,0.900000,log10_ML=a+b*color,1.1315934034664128,10.482302993426785,10.584737056546556
RC15_BC03,g-z,z,-0.888000,0.716000,log10_ML=a+b*color,1.1315934034664128,10.637026795870653,10.559247672752605
RC15_BC03,r-z,g,-1.211000,2.322000,log10_ML=a+b*color,0.49680950610967045,10.404389434484088,10.346981107670743
RC15_BC03,r-z,r,-0.987000,1.883000,log10_ML=a+b*color,0.49680950610967045,10.482302993426785,10.430795293431295
RC15_BC03,r-z,z,-0.935000,1.483000,log10_ML=a+b*color,0.49680950610967045,10.637026795870653,10.438795293431294
RC15_FSPS,g-r,g,-0.811000,1.897000,log10_ML=a+b*color,0.6347838973567423,10.404389434484088,10.797574487769829
RC15_FSPS,g-r,r,-0.647000,1.497000,log10_ML=a+b*color,0.6347838973567423,10.482302993426785,10.785574487769829
RC15_FSPS,g-r,z,-0.583000,1.102000,log10_ML=a+b*color,0.6347838973567423,10.637026795870653,10.753558650757784
RC15_FSPS,g-z,g,-0.764000,0.942000,log10_ML=a+b*color,1.1315934034664128,10.404389434484088,10.70635042054945
RC15_FSPS,g-z,r,-0.612000,0.744000,log10_ML=a+b*color,1.1315934034664128,10.482302993426785,10.712208485605796
RC15_FSPS,g-z,z,-0.548000,0.542000,log10_ML=a+b*color,1.1315934034664128,10.637026795870653,10.702350420549449
RC15_FSPS,r-z,g,-0.670000,1.795000,log10_ML=a+b*color,0.49680950610967045,10.404389434484088,10.626162497950947
RC15_FSPS,r-z,r,-0.539000,1.421000,log10_ML=a+b*color,0.49680950610967045,10.482302993426785,10.649269301608626
RC15_FSPS,r-z,z,-0.487000,1.021000,log10_ML=a+b*color,0.49680950610967045,10.637026795870653,10.657269301608627
Z17_40LG_FSPS,g-r,g,-0.684000,1.575000,log10_ML=a+b*color,0.6347838973567423,10.404389434484088,10.720174072820958
Z17_40LG_FSPS,g-r,r,-0.491000,1.175000,log10_ML=a+b*color,0.6347838973567423,10.482302993426785,10.737174072820958
Z17_40LG_FSPS,g-r,z,-0.447000,0.911000,log10_ML=a+b*color,0.6347838973567423,10.637026795870653,10.768314926362647
Z17_40LG_FSPS,g-z,g,-0.680000,0.928000,log10_ML=a+b*color,1.1315934034664128,10.404389434484088,10.77450811290092
Z17_40LG_FSPS,g-z,r,-0.486000,0.690000,log10_ML=a+b*color,1.1315934034664128,10.482302993426785,10.77710244181861
Z17_40LG_FSPS,g-z,z,-0.438000,0.528000,log10_ML=a+b*color,1.1315934034664128,10.637026795870653,10.796508112900918
Z17_40LG_FSPS,r-z,g,-0.639000,2.157000,log10_ML=a+b*color,0.49680950610967045,10.404389434484088,10.837007539162649
Z17_40LG_FSPS,r-z,r,-0.453000,1.596000,log10_ML=a+b*color,0.49680950610967045,10.482302993426785,10.82221096517782
Z17_40LG_FSPS,r-z,z,-0.404000,1.196000,log10_ML=a+b*color,0.49680950610967045,10.637026795870653,10.82721096517782
Z17_40LG_BC03,g-r,g,-0.745000,1.616000,log10_ML=a+b*color,0.6347838973567423,10.404389434484088,10.685200212612585
Z17_40LG_BC03,g-r,r,-0.552000,1.216000,log10_ML=a+b*color,0.6347838973567423,10.482302993426785,10.702200212612585
Z17_40LG_BC03,g-r,z,-0.501000,0.937000,log10_ML=a+b*color,0.6347838973567423,10.637026795870653,10.730819307693922
Z17_40LG_BC03,g-z,g,-0.712000,0.920000,log10_ML=a+b*color,1.1315934034664128,10.404389434484088,10.733455365673187
Z17_40LG_BC03,g-z,r,-0.523000,0.687000,log10_ML=a+b*color,1.1315934034664128,10.482302993426785,10.73670766160821
Z17_40LG_BC03,g-z,z,-0.470000,0.520000,log10_ML=a+b*color,1.1315934034664128,10.637026795870653,10.755455365673187
Z17_40LG_BC03,r-z,g,-0.518000,1.084000,log10_ML=a+b*color,0.49680950610967045,10.404389434484088,10.42493093910697
Z17_40LG_BC03,r-z,r,-0.357000,0.794000,log10_ML=a+b*color,0.49680950610967045,10.482302993426785,10.519769741277864
Z17_40LG_BC03,r-z,z,-0.309000,0.403000,log10_ML=a+b*color,0.49680950610967045,10.637026795870653,10.528241026832852
