galaxy_id,field_id,team_release,ra,dec,distance_mpc,logMHI,ell_maj_beams,primary_brick,primary_brick_subdir,spatial_shard,hi_status,dr10_optical_field_status
WALLABY J130139+072923,NGC4808,NGC 4808 TR1,195.4128077157483,7.489769360827925,261.8495521421176,10.034219497174195,1.087876598,1954p075,195,0,pass,candidate
WALLABY J130322+073646,NGC4808,NGC 4808 TR1,195.8437730516504,7.612810865814629,43.90823328061028,8.606537088047288,1.72140518797,1957p075,195,0,pass,candidate
WALLABY J130535+041627,NGC4808,NGC 4808 TR1,196.3965978361037,4.27442348052293,187.92677720779724,10.111872158978121,1.41609841485,1963p042,196,0,pass,candidate
WALLABY J130826+064302,NGC4808,NGC 4808 TR1,197.1090262421718,6.71741020570482,211.70720312029178,9.960359609178196,1.32404275833,1972p067,197,0,pass,candidate
WALLABY J125114+052031,NGC4808,NGC 4808 TR1,192.8121418746934,5.342108946184053,107.36059957704644,9.586701255646037,1.49992575181,1929p052,192,1,pass,candidate
WALLABY J130305+070136,NGC4808,NGC 4808 TR1,195.7717524645209,7.026713008827969,235.0914987857051,9.764545447791628,0.90362780822,1957p070,195,1,pass,candidate
WALLABY J130727+044550,NGC4808,NGC 4808 TR1,196.8662930082749,4.763906116445493,200.91096018650617,10.251452672392018,1.66903950171,1969p047,196,1,pass,candidate
WALLABY J130810+044441,NGC4808,NGC 4808 TR1,197.0433511724978,4.74482621452265,83.56740635858404,9.638499431264634,3.66421976814,1969p047,196,1,pass,candidate
WALLABY J125718+045929,NGC4808,NGC 4808 TR1,194.3261254168258,4.991512970564355,12.628493244035244,7.5104984574777625,1.36772417461,1944p050,194,10,pass,candidate
WALLABY J130504+071549,NGC4808,NGC 4808 TR1,196.2699700148136,7.263820372792376,263.39552490945664,10.096576880806909,1.21341140254,1962p072,196,10,pass,candidate
WALLABY J130813+064248,NGC4808,NGC 4808 TR1,197.0572239710904,6.713489201807413,194.39676074746671,9.753556529323285,1.434978961,1969p067,196,10,pass,candidate
WALLABY J131113+065134,NGC4808,NGC 4808 TR1,197.8078868602103,6.859440078610714,88.49738423140224,9.323217985779193,1.69590446773,1977p067,197,10,pass,candidate
WALLABY J124957+040438,NGC4808,NGC 4808 TR1,192.4910961142583,4.077416689639204,145.41677464050812,9.667916752412557,1.08438498273,1923p040,192,11,pass,candidate
WALLABY J125012+073442,NGC4808,NGC 4808 TR1,192.5539661254201,7.578549532314525,163.52956694530005,10.240628946764588,2.71957128164,1924p075,192,11,pass,candidate
WALLABY J125112+045132,NGC4808,NGC 4808 TR1,192.8030686820034,4.858921171442358,107.62385091643337,9.970032958698596,1.79411140746,1929p047,192,11,pass,candidate
WALLABY J125604+034843,NGC4808,NGC 4808 TR1,194.0193267649271,3.812093902197743,8.845517427747259,8.333991227730554,3.21058254573,1938p037,193,11,pass,candidate
WALLABY J125507+040229,NGC4808,NGC 4808 TR1,193.7816442298976,4.041481801338374,206.74757469014799,9.849362835202884,1.35370020277,1938p040,193,11,pass,candidate
WALLABY J130011+065105,NGC4808,NGC 4808 TR1,195.0497447673951,6.851392174905001,139.80927669994924,9.068887711728326,1.11937621304,1949p067,194,11,pass,candidate
WALLABY J130216+063321,NGC4808,NGC 4808 TR1,195.5682380715707,6.555965768662618,49.999389644649,8.701698129336151,1.44410073691,1954p065,195,11,pass,candidate
WALLABY J130330+081941,NGC4808,NGC 4808 TR1,195.878583001016,8.328126639289716,91.8211278519026,9.485337989007895,1.26347480156,1957p082,195,11,pass,candidate
WALLABY J130419+081330,NGC4808,NGC 4808 TR1,196.0796926630499,8.22510452188931,252.2322500745954,9.949055538448482,1.39929013119,1960p082,196,11,pass,candidate
