family,color,luminosity_band,intercept_a,slope_b,relation,color_value_mag,log10_L_band_Lsun,log10_Mstar_Msun
RC15_BC03,g-r,g,-0.984000,2.029000,log10_ML=a+b*color,0.6425921859690291,10.371295315757095,10.691114861088256
RC15_BC03,g-r,r,-0.792000,1.629000,log10_ML=a+b*color,0.6425921859690291,10.452332190144705,10.707114861088254
RC15_BC03,g-r,z,-0.796000,1.306000,log10_ML=a+b*color,0.6425921859690291,10.599477221295245,10.642702616170798
RC15_BC03,g-z,g,-1.132000,1.116000,log10_ML=a+b*color,1.1204547638453768,10.371295315757095,10.489722832208535
RC15_BC03,g-z,r,-0.916000,0.900000,log10_ML=a+b*color,1.1204547638453768,10.452332190144705,10.544741477605545
RC15_BC03,g-z,z,-0.888000,0.716000,log10_ML=a+b*color,1.1204547638453768,10.599477221295245,10.513722832208535
RC15_BC03,r-z,g,-1.211000,2.322000,log10_ML=a+b*color,0.47786257787634767,10.371295315757095,10.269892221585973
RC15_BC03,r-z,r,-0.987000,1.883000,log10_ML=a+b*color,0.47786257787634767,10.452332190144705,10.365147424285869
RC15_BC03,r-z,z,-0.935000,1.483000,log10_ML=a+b*color,0.47786257787634767,10.599477221295245,10.373147424285868
RC15_FSPS,g-r,g,-0.811000,1.897000,log10_ML=a+b*color,0.6425921859690291,10.371295315757095,10.779292692540343
RC15_FSPS,g-r,r,-0.647000,1.497000,log10_ML=a+b*color,0.6425921859690291,10.452332190144705,10.767292692540343
RC15_FSPS,g-r,z,-0.583000,1.102000,log10_ML=a+b*color,0.6425921859690291,10.599477221295245,10.724613810233116
RC15_FSPS,g-z,g,-0.764000,0.942000,log10_ML=a+b*color,1.1204547638453768,10.371295315757095,10.66276370329944
RC15_FSPS,g-z,r,-0.612000,0.744000,log10_ML=a+b*color,1.1204547638453768,10.452332190144705,10.673950534445666
RC15_FSPS,g-z,z,-0.548000,0.542000,log10_ML=a+b*color,1.1204547638453768,10.599477221295245,10.65876370329944
RC15_FSPS,r-z,g,-0.670000,1.795000,log10_ML=a+b*color,0.47786257787634767,10.371295315757095,10.55905864304514
RC15_FSPS,r-z,r,-0.539000,1.421000,log10_ML=a+b*color,0.47786257787634767,10.452332190144705,10.592374913306996
RC15_FSPS,r-z,z,-0.487000,1.021000,log10_ML=a+b*color,0.47786257787634767,10.599477221295245,10.600374913306997
Z17_40LG_FSPS,g-r,g,-0.684000,1.575000,log10_ML=a+b*color,0.6425921859690291,10.371295315757095,10.699378008658316
Z17_40LG_FSPS,g-r,r,-0.491000,1.175000,log10_ML=a+b*color,0.6425921859690291,10.452332190144705,10.716378008658316
Z17_40LG_FSPS,g-r,z,-0.447000,0.911000,log10_ML=a+b*color,0.6425921859690291,10.599477221295245,10.737878702713031
Z17_40LG_FSPS,g-z,g,-0.680000,0.928000,log10_ML=a+b*color,1.1204547638453768,10.371295315757095,10.731077336605605
Z17_40LG_FSPS,g-z,r,-0.486000,0.690000,log10_ML=a+b*color,1.1204547638453768,10.452332190144705,10.739445977198015
Z17_40LG_FSPS,g-z,z,-0.438000,0.528000,log10_ML=a+b*color,1.1204547638453768,10.599477221295245,10.753077336605603
Z17_40LG_FSPS,r-z,g,-0.639000,2.157000,log10_ML=a+b*color,0.47786257787634767,10.371295315757095,10.763044896236378
Z17_40LG_FSPS,r-z,r,-0.453000,1.596000,log10_ML=a+b*color,0.47786257787634767,10.452332190144705,10.762000864435358
Z17_40LG_FSPS,r-z,z,-0.404000,1.196000,log10_ML=a+b*color,0.47786257787634767,10.599477221295245,10.767000864435357
Z17_40LG_BC03,g-r,g,-0.745000,1.616000,log10_ML=a+b*color,0.6425921859690291,10.371295315757095,10.664724288283047
Z17_40LG_BC03,g-r,r,-0.552000,1.216000,log10_ML=a+b*color,0.6425921859690291,10.452332190144705,10.681724288283045
Z17_40LG_BC03,g-r,z,-0.501000,0.937000,log10_ML=a+b*color,0.6425921859690291,10.599477221295245,10.700586099548227
Z17_40LG_BC03,g-z,g,-0.712000,0.920000,log10_ML=a+b*color,1.1204547638453768,10.371295315757095,10.690113698494843
Z17_40LG_BC03,g-z,r,-0.523000,0.687000,log10_ML=a+b*color,1.1204547638453768,10.452332190144705,10.69908461290648
Z17_40LG_BC03,g-z,z,-0.470000,0.520000,log10_ML=a+b*color,1.1204547638453768,10.599477221295245,10.712113698494841
Z17_40LG_BC03,r-z,g,-0.518000,1.084000,log10_ML=a+b*color,0.47786257787634767,10.371295315757095,10.371298350175055
Z17_40LG_BC03,r-z,r,-0.357000,0.794000,log10_ML=a+b*color,0.47786257787634767,10.452332190144705,10.474755076978527
Z17_40LG_BC03,r-z,z,-0.309000,0.403000,log10_ML=a+b*color,0.47786257787634767,10.599477221295245,10.483055840179414
