family,color,luminosity_band,intercept_a,slope_b,relation,color_value_mag,log10_L_band_Lsun,log10_Mstar_Msun
RC15_BC03,g-r,g,-0.984000,2.029000,log10_ML=a+b*color,0.7789888077697391,10.281347861428227,10.877916152393027
RC15_BC03,g-r,r,-0.792000,1.629000,log10_ML=a+b*color,0.7789888077697391,10.41694338453612,10.893916152393025
RC15_BC03,g-r,z,-0.796000,1.306000,log10_ML=a+b*color,0.7789888077697391,10.635790279136756,10.857149662084037
RC15_BC03,g-z,g,-1.132000,1.116000,log10_ML=a+b*color,1.4361060442713303,10.281347861428227,10.752042206835032
RC15_BC03,g-z,r,-0.916000,0.900000,log10_ML=a+b*color,1.4361060442713303,10.41694338453612,10.793438824380317
RC15_BC03,g-z,z,-0.888000,0.716000,log10_ML=a+b*color,1.4361060442713303,10.635790279136756,10.77604220683503
RC15_BC03,r-z,g,-1.211000,2.322000,log10_ML=a+b*color,0.6571172365015912,10.281347861428227,10.596174084584922
RC15_BC03,r-z,r,-0.987000,1.883000,log10_ML=a+b*color,0.6571172365015912,10.41694338453612,10.667295140868616
RC15_BC03,r-z,z,-0.935000,1.483000,log10_ML=a+b*color,0.6571172365015912,10.635790279136756,10.675295140868617
RC15_FSPS,g-r,g,-0.811000,1.897000,log10_ML=a+b*color,0.7789888077697391,10.281347861428227,10.948089629767422
RC15_FSPS,g-r,r,-0.647000,1.497000,log10_ML=a+b*color,0.7789888077697391,10.41694338453612,10.93608962976742
RC15_FSPS,g-r,z,-0.583000,1.102000,log10_ML=a+b*color,0.7789888077697391,10.635790279136756,10.911235945299008
RC15_FSPS,g-z,g,-0.764000,0.942000,log10_ML=a+b*color,1.4361060442713303,10.281347861428227,10.870159755131821
RC15_FSPS,g-z,r,-0.612000,0.744000,log10_ML=a+b*color,1.4361060442713303,10.41694338453612,10.87340628147399
RC15_FSPS,g-z,z,-0.548000,0.542000,log10_ML=a+b*color,1.4361060442713303,10.635790279136756,10.866159755131818
RC15_FSPS,r-z,g,-0.670000,1.795000,log10_ML=a+b*color,0.6571172365015912,10.281347861428227,10.790873300948583
RC15_FSPS,r-z,r,-0.539000,1.421000,log10_ML=a+b*color,0.6571172365015912,10.41694338453612,10.811706977604882
RC15_FSPS,r-z,z,-0.487000,1.021000,log10_ML=a+b*color,0.6571172365015912,10.635790279136756,10.81970697760488
Z17_40LG_FSPS,g-r,g,-0.684000,1.575000,log10_ML=a+b*color,0.7789888077697391,10.281347861428227,10.824255233665566
Z17_40LG_FSPS,g-r,r,-0.491000,1.175000,log10_ML=a+b*color,0.7789888077697391,10.41694338453612,10.841255233665564
Z17_40LG_FSPS,g-r,z,-0.447000,0.911000,log10_ML=a+b*color,0.7789888077697391,10.635790279136756,10.89844908301499
Z17_40LG_FSPS,g-z,g,-0.680000,0.928000,log10_ML=a+b*color,1.4361060442713303,10.281347861428227,10.934054270512021
Z17_40LG_FSPS,g-z,r,-0.486000,0.690000,log10_ML=a+b*color,1.4361060442713303,10.41694338453612,10.921856555083338
Z17_40LG_FSPS,g-z,z,-0.438000,0.528000,log10_ML=a+b*color,1.4361060442713303,10.635790279136756,10.956054270512018
Z17_40LG_FSPS,r-z,g,-0.639000,2.157000,log10_ML=a+b*color,0.6571172365015912,10.281347861428227,11.05974974056216
Z17_40LG_FSPS,r-z,r,-0.453000,1.596000,log10_ML=a+b*color,0.6571172365015912,10.41694338453612,11.012702493992661
Z17_40LG_FSPS,r-z,z,-0.404000,1.196000,log10_ML=a+b*color,0.6571172365015912,10.635790279136756,11.01770249399266
Z17_40LG_BC03,g-r,g,-0.745000,1.616000,log10_ML=a+b*color,0.7789888077697391,10.281347861428227,10.795193774784126
Z17_40LG_BC03,g-r,r,-0.552000,1.216000,log10_ML=a+b*color,0.7789888077697391,10.41694338453612,10.812193774784124
Z17_40LG_BC03,g-r,z,-0.501000,0.937000,log10_ML=a+b*color,0.7789888077697391,10.635790279136756,10.864702792017003
Z17_40LG_BC03,g-z,g,-0.712000,0.920000,log10_ML=a+b*color,1.4361060442713303,10.281347861428227,10.89056542215785
Z17_40LG_BC03,g-z,r,-0.523000,0.687000,log10_ML=a+b*color,1.4361060442713303,10.41694338453612,10.880548236950524
Z17_40LG_BC03,g-z,z,-0.470000,0.520000,log10_ML=a+b*color,1.4361060442713303,10.635790279136756,10.912565422157847
Z17_40LG_BC03,r-z,g,-0.518000,1.084000,log10_ML=a+b*color,0.6571172365015912,10.281347861428227,10.475662945795952
Z17_40LG_BC03,r-z,r,-0.357000,0.794000,log10_ML=a+b*color,0.6571172365015912,10.41694338453612,10.581694470318384
Z17_40LG_BC03,r-z,z,-0.309000,0.403000,log10_ML=a+b*color,0.6571172365015912,10.635790279136756,10.5916085254469
B19_CBe_Chabrier_HUB3_Late_SynR,g-r,g,-0.870000,1.910000,log10_ML=a+b*color,0.7789888077697391,10.281347861428227,10.899216484268429
B19_CBe_Chabrier_HUB3_Late_SynR,g-r,r,-0.680000,1.540000,log10_ML=a+b*color,0.7789888077697391,10.41694338453612,10.936586148501519
B19_CBe_Chabrier_HUB3_Late_SynR,g-r,z,-0.710000,1.270000,log10_ML=a+b*color,0.7789888077697391,10.635790279136756,10.915106065004323
B19_CBe_Chabrier_HUB3_Late_SynR,g-z,g,-1.070000,1.130000,log10_ML=a+b*color,1.4361060442713303,10.281347861428227,10.83414769145483
B19_CBe_Chabrier_HUB3_Late_SynR,g-z,r,-0.850000,0.920000,log10_ML=a+b*color,1.4361060442713303,10.41694338453612,10.888160945265744
B19_CBe_Chabrier_HUB3_Late_SynR,g-z,z,-0.830000,0.750000,log10_ML=a+b*color,1.4361060442713303,10.635790279136756,10.882869812340253
B19_CBe_Chabrier_HUB3_Late_SynR,r-z,g,-1.150000,2.240000,log10_ML=a+b*color,0.6571172365015912,10.281347861428227,10.60329047119179
B19_CBe_Chabrier_HUB3_Late_SynR,r-z,r,-0.920000,1.820000,log10_ML=a+b*color,0.6571172365015912,10.41694338453612,10.692896754969016
B19_CBe_Chabrier_HUB3_Late_SynR,r-z,z,-0.880000,1.460000,log10_ML=a+b*color,0.6571172365015912,10.635790279136756,10.715181444429078
