label,ra,dec,count
ngc4808_pilot,191.9459810189541,4.33817561380282,HelloWorldfromqueryManager!2.21.0
vela_pilot,147.0903045344817,-45.4341811258285,HelloWorldfromqueryManager!2.21.0
