galaxy_id,rad_hi_source_arcsec,sigma_hi_source_weight
WALLABY J094234-470424,3.000000000006,31.811926420376206
WALLABY J094234-470424,9.000000000018,41.480761907335854
WALLABY J094234-470424,15.00000000003,34.810396654466004
WALLABY J094234-470424,21.000000000042,31.69490091286321
WALLABY J094234-470424,27.000000000054,23.00852327971818
WALLABY J094234-470424,33.000000000066,13.226918165786856
WALLABY J094234-470424,39.000000000078,6.697529303864551
WALLABY J094234-470424,45.00000000009,2.7847744754267567
WALLABY J094234-470424,51.000000000102006,1.6931316783894046
WALLABY J094234-470424,57.000000000114,0.5170591199016235
WALLABY J094234-470424,63.00000000012601,0.053367823217013305
WALLABY J094254-463705,3.000000000006,41.21221492433274
WALLABY J094254-463705,9.000000000018,44.727661189553686
WALLABY J094254-463705,15.00000000003,31.088465012253906
WALLABY J094254-463705,21.000000000042,29.637749855259596
WALLABY J094254-463705,27.000000000054,19.20979407731271
WALLABY J094254-463705,33.000000000066,13.682833824886893
WALLABY J094254-463705,39.000000000078,8.79493433699867
WALLABY J094254-463705,45.00000000009,3.515375065470407
WALLABY J094254-463705,51.000000000102006,3.0053359098374535
WALLABY J094254-463705,57.000000000114,2.6565566779886827
WALLABY J094254-463705,63.00000000012601,1.3262630305453276
WALLABY J094254-463705,69.000000000138,0.47210685365005267
WALLABY J094254-463705,75.00000000015001,0.3291259427062005
WALLABY J094254-463705,81.000000000162,0.21130331435450767
WALLABY J094254-463705,87.000000000174,0.1306689381111724
WALLABY J094254-463705,93.000000000186,0.04801169163815123
WALLABY J094325-453019,3.000000000006,32.19957949011071
WALLABY J094325-453019,9.000000000018,31.466088004845666
WALLABY J094325-453019,15.00000000003,30.332466512243414
WALLABY J094325-453019,21.000000000042,25.464177676122
WALLABY J094325-453019,27.000000000054,17.901586407534833
WALLABY J094325-453019,33.000000000066,14.422005605162266
WALLABY J094325-453019,39.000000000078,10.052871563533479
WALLABY J094325-453019,45.00000000009,7.046033338511639
WALLABY J094325-453019,51.000000000102006,3.294731331757826
WALLABY J094325-453019,57.000000000114,3.08537616438378
WALLABY J094325-453019,63.00000000012601,1.7762203468547375
WALLABY J094325-453019,69.000000000138,0.5451880481360976
WALLABY J094325-453019,75.00000000015001,0.45580651418725543
WALLABY J094325-453019,81.000000000162,0.06214115476110871
WALLABY J094402-445751,3.000000000006,21.542826520942903
WALLABY J094402-445751,9.000000000018,20.19525077259561
WALLABY J094402-445751,15.00000000003,19.38983259906001
WALLABY J094402-445751,21.000000000042,16.374205168771603
WALLABY J094402-445751,27.000000000054,16.469453209583975
WALLABY J094402-445751,33.000000000066,12.20304315959249
WALLABY J094402-445751,39.000000000078,9.892250510282949
WALLABY J094402-445751,45.00000000009,8.457488932513913
WALLABY J094402-445751,51.000000000102006,5.380004527410341
WALLABY J094402-445751,57.000000000114,1.896251738913401
WALLABY J094402-445751,63.00000000012601,1.297612652564237
WALLABY J094402-445751,69.000000000138,0.22778705775612917
WALLABY J094402-445751,75.00000000015001,0.09242272735230826
WALLABY J094402-445751,81.000000000162,0.05979795077603112
WALLABY J094444-481857,3.000000000006,37.93184067699528
WALLABY J094444-481857,9.000000000018,18.283832530875728
WALLABY J094444-481857,15.00000000003,16.382245084426973
WALLABY J094444-481857,21.000000000042,23.631479422878357
WALLABY J094444-481857,27.000000000054,18.91855164804299
WALLABY J094444-481857,33.000000000066,13.701111815857725
WALLABY J094444-481857,39.000000000078,8.16150105090605
WALLABY J094444-481857,45.00000000009,6.429356896370561
WALLABY J094444-481857,51.000000000102006,2.990902082264728
WALLABY J094444-481857,57.000000000114,1.7017846248357589
WALLABY J094444-481857,63.00000000012601,0.9784023886401907
WALLABY J094444-481857,69.000000000138,0.3552003602323961
WALLABY J094444-481857,75.00000000015001,0.004542926114430305
WALLABY J094449-463217,3.000000000006,58.426695319614595
WALLABY J094449-463217,9.000000000018,48.684939361416795
WALLABY J094449-463217,15.00000000003,30.627622212294597
WALLABY J094449-463217,21.000000000042,38.12394188921351
WALLABY J094449-463217,27.000000000054,30.785027007950525
WALLABY J094449-463217,33.000000000066,21.5615987201783
WALLABY J094449-463217,39.000000000078,19.696341479246353
WALLABY J094449-463217,45.00000000009,14.630568802049845
WALLABY J094449-463217,51.000000000102006,7.645510898775284
