name,team_release,ra,dec,dist_h,log_m_hi_corr,ell_maj_beams_30arcsec,rel,qflag
WALLABY J094138-433151,Vela TR1,145.4118883554378,-43.53100182412146,266.71125113308165,10.122125551965249,0.846505406605,0.9052311073045991,0.0
WALLABY J094234-470424,Vela TR1,145.645289432793,-47.07356393035629,241.9588344371806,10.246375591961957,1.29167409537,0.9999999999418243,0.0
WALLABY J094254-463705,Vela TR1,145.7260825954704,-46.61808045228427,166.37247631151877,9.962743580687794,1.55905388023,0.9999430593847773,0.0
WALLABY J094317-452105,Vela TR1,145.8208931143386,-45.35157504437457,76.1945034898035,9.627514707410201,1.72387500486,0.9999749916673429,0.0
WALLABY J094325-453019,Vela TR1,145.8582894444432,-45.50538451248961,172.52985621364712,9.994976721545317,1.67114023796,0.9999957859426196,0.0
WALLABY J094333-452200,Vela TR1,145.8901067770613,-45.36669926940335,260.18294703699104,10.176864819772335,1.63003647752,0.9978004014359428,0.0
WALLABY J094402-445751,Vela TR1,146.0086997669729,-44.96420339568142,244.53079064341557,10.22474572620654,1.70642785866,0.9999562587709091,0.0
WALLABY J094404-462300,Vela TR1,146.0206405986607,-46.38355601432205,249.02787171338989,10.101339892016334,1.76266713052,0.9941258993549459,0.0
WALLABY J094425-474959,Vela TR1,146.1068359614915,-47.83312977050841,173.54538296399156,9.753989775714453,1.72654661993,0.9472809826690531,0.0
WALLABY J094429-464515,Vela TR1,146.1217017138112,-46.75434269357045,246.53951345279987,9.918187179146743,1.11070072905,0.7383724247973965,0.0
WALLABY J094444-481857,Vela TR1,146.1833661551046,-48.31597963721633,292.54199322961193,10.372197163219159,1.59020907488,0.9556768279296146,0.0
WALLABY J094449-463217,Vela TR1,146.2061289146907,-46.53809458593947,162.82663639122666,10.143046749327326,1.71162831325,0.9999999999999999,0.0
WALLABY J094524-480828,Vela TR1,146.3525983751377,-48.1411600342557,12.618986431650834,8.521672836713119,3.42371913378,1.0,0.0
WALLABY J094530-470014,Vela TR1,146.3764538480128,-47.00397154744917,244.2580488737564,10.045296876547553,0.897737472808,0.9960390565801884,0.0
WALLABY J094533-462130,Vela TR1,146.3905078952207,-46.35859182261332,107.15592028701057,9.38659353242266,1.29482929668,0.9912040158108323,0.0
WALLABY J094609-453327,Vela TR1,146.5404636571995,-45.55773588043339,297.58261731965604,10.341580278733128,1.7165945363,0.9961423793889231,0.0
WALLABY J094613-471709,Vela TR1,146.5569056761999,-47.2859867811384,201.23297577763753,9.881172037686593,1.02348936834,0.9915950489683596,0.0
