family,color,luminosity_band,intercept_a,slope_b,relation,color_value_mag,log10_L_band_Lsun,log10_Mstar_Msun
RC15_BC03,g-r,g,-0.984000,2.029000,log10_ML=a+b*color,0.6232630707197035,10.414808152069304,10.695408922559583
RC15_BC03,g-r,r,-0.792000,1.629000,log10_ML=a+b*color,0.6232630707197035,10.488113380357184,10.711408922559581
RC15_BC03,g-r,z,-0.796000,1.306000,log10_ML=a+b*color,0.6232630707197035,10.637460349189604,10.655441919549538
RC15_BC03,g-z,g,-1.132000,1.116000,log10_ML=a+b*color,1.1066304928007522,10.414808152069304,10.517807782034943
RC15_BC03,g-z,r,-0.916000,0.900000,log10_ML=a+b*color,1.1066304928007522,10.488113380357184,10.56808082387786
RC15_BC03,g-z,z,-0.888000,0.716000,log10_ML=a+b*color,1.1066304928007522,10.637460349189604,10.541807782034944
RC15_BC03,r-z,g,-1.211000,2.322000,log10_ML=a+b*color,0.48336742208104866,10.414808152069304,10.326187306141499
RC15_BC03,r-z,r,-0.987000,1.883000,log10_ML=a+b*color,0.48336742208104866,10.488113380357184,10.411294236135799
RC15_BC03,r-z,z,-0.935000,1.483000,log10_ML=a+b*color,0.48336742208104866,10.637460349189604,10.4192942361358
RC15_FSPS,g-r,g,-0.811000,1.897000,log10_ML=a+b*color,0.6232630707197035,10.414808152069304,10.786138197224581
RC15_FSPS,g-r,r,-0.647000,1.497000,log10_ML=a+b*color,0.6232630707197035,10.488113380357184,10.77413819722458
RC15_FSPS,g-r,z,-0.583000,1.102000,log10_ML=a+b*color,0.6232630707197035,10.637460349189604,10.741296253122718
RC15_FSPS,g-z,g,-0.764000,0.942000,log10_ML=a+b*color,1.1066304928007522,10.414808152069304,10.693254076287612
RC15_FSPS,g-z,r,-0.612000,0.744000,log10_ML=a+b*color,1.1066304928007522,10.488113380357184,10.699446467000943
RC15_FSPS,g-z,z,-0.548000,0.542000,log10_ML=a+b*color,1.1066304928007522,10.637460349189604,10.689254076287613
RC15_FSPS,r-z,g,-0.670000,1.795000,log10_ML=a+b*color,0.48336742208104866,10.414808152069304,10.612452674704786
RC15_FSPS,r-z,r,-0.539000,1.421000,log10_ML=a+b*color,0.48336742208104866,10.488113380357184,10.635978487134354
RC15_FSPS,r-z,z,-0.487000,1.021000,log10_ML=a+b*color,0.48336742208104866,10.637460349189604,10.643978487134355
