galaxy_id,field_id,release_phase,qflag_model,rad_arcsec,vrot_kms
WALLABY J131739-213708,NGC5044,2,0,7.5,38.2
WALLABY J131739-213708,NGC5044,2,0,22.47,64.7
WALLABY J131739-213708,NGC5044,2,0,37.43,75.8
WALLABY J131739-213708,NGC5044,2,0,52.4,79.1
WALLABY J131739-213708,NGC5044,2,0,67.37,77.8
WALLABY J132542-164457,NGC5044,2,1,7.5,88.8
WALLABY J132542-164457,NGC5044,2,1,22.48,97.8
WALLABY J132542-164457,NGC5044,2,1,37.47,99.2
WALLABY J132542-164457,NGC5044,2,1,52.45,126.1
WALLABY J132635-221419,NGC5044,2,0,7.5,18.6
WALLABY J132635-221419,NGC5044,2,0,22.56,27.8
WALLABY J132635-221419,NGC5044,2,0,37.62,34.8
WALLABY J132635-221419,NGC5044,2,0,52.68,42.4
WALLABY J132635-221419,NGC5044,2,0,67.74,49.5
WALLABY J132635-221419,NGC5044,2,0,82.8,55.2
WALLABY J132635-221419,NGC5044,2,0,97.86,59.5
WALLABY J133019-220858,NGC5044,2,0,7.5,73.8
WALLABY J133019-220858,NGC5044,2,0,22.56,113
WALLABY J133019-220858,NGC5044,2,0,37.62,117.4
WALLABY J133019-220858,NGC5044,2,0,52.68,110.8
WALLABY J133041-233009,NGC5044,2,0,7.5,186.5
WALLABY J133041-233009,NGC5044,2,0,22.56,236.9
WALLABY J133041-233009,NGC5044,2,0,37.62,226.1
WALLABY J133041-233009,NGC5044,2,0,52.68,232.5
WALLABY J133041-233009,NGC5044,2,0,67.74,225.4
WALLABY J133138-232047,NGC5044,2,0,7.5,66.1
WALLABY J133138-232047,NGC5044,2,0,22.56,93.3
WALLABY J133138-232047,NGC5044,2,0,37.62,108.6
WALLABY J133138-232047,NGC5044,2,0,52.68,117.9
WALLABY J133138-232047,NGC5044,2,0,67.74,123.7
WALLABY J133440-234722,NGC5044,2,0,7.5,114
WALLABY J133440-234722,NGC5044,2,0,22.56,175.2
WALLABY J133440-234722,NGC5044,2,0,37.62,187.1
WALLABY J133440-234722,NGC5044,2,0,52.68,175.2
WALLABY J133756-240727,NGC5044,2,0,7.5,126
WALLABY J133756-240727,NGC5044,2,0,22.56,127.7
WALLABY J133756-240727,NGC5044,2,0,37.62,120.7
WALLABY J133756-240727,NGC5044,2,0,52.68,114.5
WALLABY J133801-225524,NGC5044,2,0,7.5,193.5
WALLABY J133801-225524,NGC5044,2,0,22.56,183.5
WALLABY J133801-225524,NGC5044,2,0,37.62,202
WALLABY J133801-225524,NGC5044,2,0,52.68,198.5
WALLABY J134019-235122,NGC5044,2,0,7.5,224.3
WALLABY J134019-235122,NGC5044,2,0,22.56,234.8
WALLABY J134019-235122,NGC5044,2,0,37.62,233
WALLABY J134019-235122,NGC5044,2,0,52.68,226.1
WALLABY J134019-235122,NGC5044,2,0,67.74,216.1
