galaxy_id,field_id,log10_gbar,gbar,gobs,proxy_value,delta_ref,primary_resolution,crossfit_ok,stratum,rad_arcsec,vrot_kms,gstar,log10_gstar,ggas,gravity_step_relative_change
WALLABY J130148-114530,NGC5044,-10.855162739,1.39584521152e-11,5.05895791182e-11,7.42905021,0.0259408110814,True,True,low,22.48,120.1,1.18375929966e-11,-10.9267365961,2.1208591186e-12,2.94144063818e-06
WALLABY J130148-114530,NGC5044,-11.0727358112,8.45793199328e-12,3.92060390411e-11,7.42905021,0.0398400600676,True,True,low,37.47,136.5,5.4283432648e-12,-11.2653326973,3.02958872848e-12,3.32875232795e-06
WALLABY J130148-114530,NGC5044,-11.219651421,6.03043414362e-12,2.72747675069e-11,7.42905021,-0.0355554452756,True,True,low,52.45,134.7,2.73612728445e-12,-11.5628637031,3.29430685916e-12,8.7072460695e-07
WALLABY J130148-114530,NGC5044,-11.3674378518,4.29103590214e-12,2.09955760829e-11,7.42905021,-0.067826666982,True,True,low,67.43,134,1.57373889049e-12,-11.8030673227,2.71729701165e-12,8.28594459391e-07
WALLABY J130223-122031,NGC5044,-9.95914098583,1.09864912501e-10,4.51351876532e-10,8.63199789024,0.407307486982,True,True,low,7.5,192.7,1.09864912501e-10,-9.95914098583,0,2.00851085118e-06
WALLABY J130223-122031,NGC5044,-10.3038264392,4.96790818529e-11,1.40295153326e-10,8.63199789024,0.132070593724,True,True,low,22.48,186,4.86166881224e-11,-10.3132146296,1.06239373049e-12,4.71269889452e-06
WALLABY J130223-122031,NGC5044,-10.6385768363,2.29838703788e-11,9.34633914837e-11,8.63199789024,0.1643169976,True,True,low,37.47,196,1.97171209776e-11,-10.7051564989,3.26674940113e-12,6.08718367484e-08
WALLABY J130223-122031,NGC5044,-10.8785655172,1.32261816405e-11,6.42726434794e-11,8.63199789024,0.143494154393,True,True,low,52.45,192.3,9.53282004555e-12,-11.0207786052,3.69336159495e-12,0.000402018498686
WALLABY J130223-122031,NGC5044,-11.0212527184,9.52241887887e-12,4.70237867363e-11,8.63199789024,0.089651379261,True,True,low,67.43,186.5,5.48304248431e-12,-11.2609783891,4.03937639457e-12,6.52816466905e-06
WALLABY J130235-113803,NGC5044,-10.5203900683,3.01724052197e-11,3.77128974192e-11,13.1554980416,-0.301889153924,True,True,middle,7.5,45.9,2.99818875207e-11,-10.5231410295,1.90517699003e-13,1.97963495331e-06
WALLABY J130235-113803,NGC5044,-10.7927588699,1.61154015042e-11,3.78403914742e-11,13.1554980416,-0.136637377633,True,True,middle,22.48,79.6,1.30219683031e-11,-10.8853233661,3.09343320113e-12,2.21547335967e-06
WALLABY J130235-113803,NGC5044,-11.1296351073,7.4193334929e-12,3.27459718076e-11,13.1554980416,-0.00635227374942,True,True,middle,37.47,95.6,5.23161697962e-12,-11.2813640594,2.18771651328e-12,3.49436835113e-06
WALLABY J130235-113803,NGC5044,-11.3307531142,4.66924740138e-12,2.71553090011e-11,13.1554980416,0.0238166778647,True,True,middle,52.45,103,2.52378861129e-12,-11.5979470238,2.14545879009e-12,6.08143007504e-07
WALLABY J130235-113803,NGC5044,-11.4658704498,3.42081470354e-12,2.27098956059e-11,13.1554980416,0.0198121841068,True,True,middle,67.43,106.8,1.45253261509e-12,-11.8378741072,1.96828208845e-12,6.1009419092e-08
WALLABY J130235-113803,NGC5044,-11.5694990947,2.69464094966e-12,1.87889168588e-11,13.1554980416,-0.00660984959887,True,True,middle,82.42,107.4,9.45278667876e-13,-12.0244401427,1.74936228178e-12,1.70178204623e-06
WALLABY J130235-113803,NGC5044,-11.6319889355,2.33351751255e-12,1.67694129765e-11,13.1554980416,-0.0225096344348,True,True,middle,97.4,110.3,6.66773710026e-13,-12.1760215321,1.66674380252e-12,3.65745828112e-06
WALLABY J130315+074816,NGC4808,-10.1978681432,6.34062190573e-11,2.37471931428e-10,7.80763659653,0.29136079981,True,True,low,7.5,105.5,6.34062190573e-11,-10.1978681432,0,2.67579047787e-07
WALLABY J130315+074816,NGC4808,-10.288587474,5.14532161392e-11,1.69750147653e-10,7.80763659653,0.204979940811,True,True,low,22.56,154.7,5.14532161392e-11,-10.288587474,0,1.05320119037e-07
WALLABY J130315+074816,NGC4808,-10.5073971482,3.10887207445e-11,1.03011208093e-10,7.80763659653,0.126483439737,True,True,low,37.61,155.6,3.10887207445e-11,-10.5073971482,0,1.31311171808e-06
