galaxy_id,field_id,release_phase,distance_mpc,logMstar,logMHI,ell_maj_beams,R_HI90,R_dstar,R_HI90_arcsec,R50_r_arcsec,R_dstar_arcsec,kappa_HI,crossfit_phase_bit,crossfit_dropped_source_index,crossfit_n_source_used,crossfit_n_paired_bins,hi_mass_renorm_scale
WALLABY J125500+051140,NGC4808,2,282.0004808,9.45187864142,10.0549210433,1.04993511265,29.7832031732,3.06492432378,29.7832031732,5.14400651345,3.06492432378,9.71743509036,1,0,10,5,0.116493886805
WALLABY J125507+040229,NGC4808,2,206.74757469,10.9064920352,9.8493628352,1.35370020277,45.0806207193,5.42939763527,45.0806207193,9.11241317876,5.42939763527,8.30306117688,1,0,12,6,0.109317870734
WALLABY J125515+081543,NGC4808,2,305.51508194,11.0863425009,10.4490389998,2.56964515755,81.5243997349,4.53977997189,81.5243997349,7.61932605115,4.53977997189,17.9577865535,0,0,24,12,0.108836806955
WALLABY J125523+075436,NGC4808,2,40.0873664451,9.59889252877,8.77692895778,1.44746497064,48.0551636802,9.31225593398,48.0551636802,15.6291967171,9.31225593398,5.16042127932,0,0,12,6,0.107637447773
WALLABY J125604+034843,NGC4808,2,8.84551742775,7.20589360027,8.33399122773,3.21058254573,99.9342189603,17.0827723731,99.9342189603,28.6708195936,17.0827723731,5.85000003381,0,0,26,13,0.0922316719691
WALLABY J125604+064914,NGC4808,2,51.6066443346,7.80118911235,8.94921400972,1.30785478368,41.1699402477,3.38729209284,41.1699402477,5.68505148833,3.38729209284,12.1542338597,1,0,12,6,0.111804474054
WALLABY J125605+053051,NGC4808,2,101.860714618,8.98202849771,9.34366801346,1.39221366376,49.8995089741,6.21214465578,49.8995089741,10.4261342846,6.21214465578,8.03257356984,1,0,14,7,0.115098196185
WALLABY J125627+060352,NGC4808,2,164.387307568,10.7171578607,10.1789469521,2.05533356961,69.779982182,4.03825677203,69.779982182,6.77759609826,4.03825677203,17.2797288833,1,0,18,9,0.0996446771705
WALLABY J125636+030211,NGC4808,2,269.170863634,9.8287760834,10.0057804559,1.0540474526,33.052765676,1.57228409811,33.052765676,2.63883828352,1.57228409811,21.0221331601,0,,10,5,0.102693468533
WALLABY J125646+034002,NGC4808,2,39.9231202126,7.6501323785,8.30914717723,2.06044851292,61.855434992,3.56431404974,61.855434992,5.98215575686,3.56431404974,17.3540922962,0,0,24,12,0.115127504148
WALLABY J125647+055350,NGC4808,2,203.720649477,9.63750456393,9.8155034045,1.06022496304,39.5269274892,2.899547586,39.5269274892,4.86644696337,2.899547586,13.6321016699,1,,8,4,0.115425878364
WALLABY J125647+055512,NGC4808,2,135.781596254,10.2967562119,9.68314576794,1.83653255301,53.2334564874,1.68769779761,53.2334564874,2.83254251868,1.68769779761,31.542054841,1,,20,10,0.107604126701
