galaxy_id,field_id,R_HI90,R_dstar,kappa_HI,stratum
WALLABY J133351-224126,NGC5044,33.2149067339,4.71690153957,7.04167904614,low
WALLABY J133756-240727,NGC5044,63.9832895896,9.00312864802,7.10678388492,low
WALLABY J125836-161333,NGC5044,41.3146422158,5.79954542232,7.1237725041,low
WALLABY J130415-102023,NGC5044,225.308576525,31.6268151736,7.1239729732,low
WALLABY J130016-170140,NGC5044,41.5781196669,5.80786502024,7.15893353616,low
WALLABY J131222-143329,NGC5044,32.9119422397,4.58972463676,7.17078797628,low
WALLABY J130846-175751,NGC5044,40.9562341666,5.67709363656,7.21429604452,low
WALLABY J131650-184634,NGC5044,39.8141738344,5.51842062886,7.21477692842,low
WALLABY J130857-153100,NGC5044,109.933306014,15.1904106073,7.23702004218,low
WALLABY J130224-155038,NGC5044,41.4300963213,5.63818151111,7.34813099572,low
WALLABY J130440+075733,NGC4808,41.0125724188,5.56332079743,7.37195892744,low
WALLABY J130148-114530,NGC5044,68.3351081745,9.19836402271,7.42905020999,low
WALLABY J130320-193543,NGC5044,34.0420766663,4.51690943149,7.53658606236,low
WALLABY J130654-154854,NGC5044,43.4555570166,5.75711128389,7.54815303609,low
WALLABY J132136-203629,NGC5044,43.8613441047,5.81011472192,7.54913563741,low
WALLABY J133242-233015,NGC5044,32.5096163537,4.3025178627,7.55595151284,low
WALLABY J130829-204924,NGC5044,42.5929040075,5.62297986211,7.57479220129,low
WALLABY J125700-171910,NGC5044,66.6475003929,8.77175681109,7.59796490352,low
WALLABY J133422-234348,NGC5044,39.6658154771,5.19693670748,7.63253772554,low
WALLABY J133841-202243,NGC5044,48.7049958694,6.33406237925,7.68937736214,low
WALLABY J130445-190601,NGC5044,35.2229032703,4.58043895119,7.68985323146,low
WALLABY J131132-144033,NGC5044,54.7180482211,7.09812062586,7.70880788103,low
WALLABY J133933-145203,NGC5044,33.9615711101,4.39348093715,7.72999168448,low
WALLABY J130315+074816,NGC4808,107.471287812,13.7648937016,7.80763659653,low
WALLABY J130659-151041,NGC5044,30.7475744485,3.88559290865,7.91322590178,low
WALLABY J130854-171416,NGC5044,45.1563509935,5.69759177969,7.92551532991,low
WALLABY J133134-240142,NGC5044,42.2285344759,5.32801990818,7.92574637551,low
WALLABY J133735-163755,NGC5044,48.8738874032,6.15276877766,7.94339738244,low
WALLABY J130739+075909,NGC4808,47.9773948181,6.02558634632,7.96227820176,low
WALLABY J130338+075404,NGC4808,36.5198895757,4.55215868085,8.0225431792,low
WALLABY J125605+053051,NGC4808,49.8995089741,6.21214465578,8.03257356985,low
WALLABY J130753-205916,NGC5044,53.030888242,6.57519791107,8.06529156373,low
WALLABY J134437-235646,NGC5044,39.8375583604,4.92913856815,8.08205283938,low
WALLABY J130947-101916,NGC5044,105.512260713,13.0491108845,8.08578160205,low
WALLABY J134306-193556,NGC5044,40.9962155077,5.04160585676,8.13157884064,low
WALLABY J130358+054204,NGC4808,80.131694134,9.75282196748,8.21625724341,low
WALLABY J132124-160619,NGC5044,33.6680418088,4.06909430205,8.27408737906,low
WALLABY J125757-130339,NGC5044,108.449811745,13.086471016,8.28717013261,low
WALLABY J130241+055729,NGC4808,50.4544319261,6.08438941536,8.29243963227,low
WALLABY J125507+040229,NGC4808,45.0806207193,5.42939763527,8.30306117689,low
WALLABY J130759-180456,NGC5044,47.7115344821,5.7285715033,8.32869668374,low
WALLABY J125912-124101,NGC5044,44.3898561636,5.30243833585,8.37159309586,low
WALLABY J134150-175703,NGC5044,23.5493222815,2.81163744976,8.37566105243,low
WALLABY J131033-170323,NGC5044,34.8699190217,4.15777854471,8.38667058544,low
WALLABY J131321-185558,NGC5044,57.8830935579,6.89993348353,8.38893500873,low
WALLABY J130254-155621,NGC5044,31.6527347143,3.76982833611,8.39633317282,low
WALLABY J130922-201247,NGC5044,44.6197948213,5.29246143446,8.4308209656,low
WALLABY J133253-241226,NGC5044,58.9862620375,6.93628637085,8.50401192854,low
WALLABY J130630-112046,NGC5044,35.11681251,4.07544654257,8.61667847761,low
WALLABY J130223-122031,NGC5044,66.1147658629,7.65926575789,8.63199789024,low
WALLABY J130528-111138,NGC5044,46.3973498541,5.35669703387,8.66155945739,low
WALLABY J133308-233234,NGC5044,42.6702340925,4.92587552024,8.66246699032,low
WALLABY J130629-133413,NGC5044,64.7842058892,7.47115455296,8.67124424076,low
WALLABY J130158-164401,NGC5044,35.6908081086,4.10289574299,8.69893127789,low
WALLABY J130121-133904,NGC5044,38.501479384,4.41162479073,8.72727877151,low
WALLABY J133543-174712,NGC5044,34.7132745393,3.97352346655,8.73614433928,low
WALLABY J133809-241011,NGC5044,29.2143333651,3.33517311529,8.75946535764,low
WALLABY J130148+045931,NGC4808,53.7408668401,6.07905573049,8.84033133149,low
WALLABY J132538-163436,NGC5044,35.9654550337,4.06236165978,8.85333656769,low
WALLABY J131037-144407,NGC5044,38.3792208042,4.32928566822,8.86502387355,low
WALLABY J130125+042810,NGC4808,41.3512338129,4.60968903341,8.97050397829,low
WALLABY J134514-151038,NGC5044,40.235382954,4.47014488642,9.00091249307,low
WALLABY J131253-105339,NGC5044,55.4788402197,6.15867955417,9.00823621877,low
WALLABY J134201-221411,NGC5044,38.7972120581,4.29926681933,9.02414613665,middle
WALLABY J130100+025004,NGC4808,49.9020038293,5.52167721753,9.03747210555,middle
WALLABY J130408-142339,NGC5044,52.0123581237,5.73327538818,9.0720146168,middle
WALLABY J125716+060334,NGC4808,34.3183835356,3.78118214727,9.07609900792,middle
WALLABY J131049-182530,NGC5044,34.541635649,3.7910651976,9.111327252,middle
WALLABY J130339+043644,NGC4808,39.307090255,4.31064829557,9.11860294782,middle
WALLABY J130116+045403,NGC4808,33.5409567238,3.67806099022,9.11919536217,middle
WALLABY J131049-182903,NGC5044,43.7649001945,4.76178046595,9.19086894229,middle
WALLABY J130934-145427,NGC5044,32.2616251393,3.50153014864,9.21357914106,middle
WALLABY J133245-241711,NGC5044,40.6596076057,4.4114059861,9.21692715062,middle
WALLABY J130018-115758,NGC5044,48.5645747448,5.25492096232,9.24173267172,middle
WALLABY J132625-215123,NGC5044,32.9633450529,3.56356275909,9.25010930952,middle
WALLABY J131618-204147,NGC5044,59.9020402437,6.44720043636,9.29117077016,middle
WALLABY J133933-222957,NGC5044,69.4034372388,7.45291731759,9.31225106644,middle
WALLABY J131041+053553,NGC4808,35.3557660339,3.78969725434,9.32944339905,middle
WALLABY J133113-220341,NGC5044,44.1335209026,4.69818890247,9.39373060955,middle
WALLABY J130242+032114,NGC4808,35.7018256216,3.79082683829,9.41795211034,middle
WALLABY J130344+061920,NGC4808,47.2465624124,5.01180339223,9.42705822931,middle
WALLABY J134024-233429,NGC5044,35.3089854132,3.7436150431,9.43178852705,middle
WALLABY J133424-141834,NGC5044,43.3889019048,4.58612854247,9.46089964618,middle
WALLABY J125112+045132,NGC4808,54.74429284,5.77071851058,9.48656440955,middle
WALLABY J132329-163056,NGC5044,44.6141741674,4.67412788614,9.54491944897,middle
WALLABY J132331-235339,NGC5044,41.3297542246,4.32746400945,9.55057145117,middle
WALLABY J132536-213356,NGC5044,62.7721345856,6.49111028408,9.67047728946,middle
WALLABY J130316+044405,NGC4808,45.5516592498,4.70824204071,9.67487628205,middle
WALLABY J125500+051140,NGC4808,29.7832031732,3.06492432378,9.71743509036,middle
WALLABY J130342+055733,NGC4808,29.4781853264,3.0186887849,9.76522835804,middle
WALLABY J131327-204640,NGC5044,39.0439732698,3.99481610764,9.77365971743,middle
WALLABY J131805-191823,NGC5044,39.2532223107,4.0007117819,9.81155965503,middle
WALLABY J130905+055109,NGC4808,45.5436508799,4.63649700924,9.82285781467,middle
WALLABY J125910-161749,NGC5044,40.0001895602,4.06414217797,9.84222200124,middle
WALLABY J130737-151812,NGC5044,49.724796115,5.0493497482,9.84776230498,middle
WALLABY J133902-204211,NGC5044,43.2653518281,4.39073773632,9.85377729811,middle
WALLABY J131142-103858,NGC5044,42.7948379488,4.32680332813,9.89063627426,middle
WALLABY J131038-144004,NGC5044,33.8088192261,3.37843094279,10.0072547874,middle
WALLABY J130941-132855,NGC5044,34.9789103644,3.48057994957,10.0497362139,middle
WALLABY J133059-160809,NGC5044,40.9823789797,4.06609528687,10.0790503144,middle
WALLABY J130544+073310,NGC4808,38.3341078852,3.79092752131,10.1120656277,middle
WALLABY J131032-172527,NGC5044,52.0281197393,5.13564234794,10.1307910899,middle
WALLABY J131624-192614,NGC5044,45.5030507773,4.47823553506,10.1609328989,middle
WALLABY J130043-185429,NGC5044,49.8893414649,4.90287211996,10.1755339002,middle
WALLABY J133247-222656,NGC5044,40.5474860468,3.97043649687,10.2123497199,middle
WALLABY J130353-192550,NGC5044,31.2544919007,3.05368313266,10.2350147487,middle
WALLABY J130727+044550,NGC4808,54.0023998823,5.27301017922,10.2412849676,middle
WALLABY J133141-231608,NGC5044,34.6471480165,3.38308372937,10.2412919065,middle
WALLABY J133019-220858,NGC5044,69.673503286,6.79341002648,10.2560426964,middle
WALLABY J133452-175929,NGC5044,34.4323107795,3.34934532863,10.2803107476,middle
WALLABY J124947+035042,NGC4808,92.1684514099,8.95164301224,10.296260841,middle
WALLABY J130132-190935,NGC5044,42.3513953446,4.10417480459,10.3191012472,middle
WALLABY J132211-160558,NGC5044,65.2650304107,6.30571762935,10.3501352656,middle
WALLABY J125932-151419,NGC5044,43.2443402063,4.16853353046,10.3739936096,middle
WALLABY J133845-243304,NGC5044,51.5365456921,4.95447558373,10.4020183007,middle
WALLABY J134056-233626,NGC5044,41.0276240353,3.92731918038,10.4467251453,middle
WALLABY J130757-193648,NGC5044,47.6714319123,4.55877863898,10.4570622282,middle
WALLABY J130414-191227,NGC5044,39.7800592104,3.79802166106,10.4738895036,middle
WALLABY J133545-231543,NGC5044,53.5711570305,5.0951339975,10.5141802074,middle
WALLABY J133321-231451,NGC5044,39.8123491158,3.76128602689,10.5847704299,middle
WALLABY J134250-184550,NGC5044,39.038855675,3.66250655935,10.659054132,middle
WALLABY J130252-113001,NGC5044,40.2629873561,3.77596890442,10.6629552243,middle
WALLABY J130609+040911,NGC4808,40.8093873441,3.80748135174,10.7182106947,middle
WALLABY J133627-224910,NGC5044,51.9043455522,4.80395815595,10.8044957652,middle
WALLABY J130721+070242,NGC4808,28.8012387486,2.65163447409,10.8616926767,middle
WALLABY J132859-234535,NGC5044,51.6402991494,4.74710041764,10.8782824474,middle
WALLABY J131049-105237,NGC5044,42.9692616119,3.9328638718,10.9256925774,middle
WALLABY J130215-170254,NGC5044,34.0743261614,3.10744013803,10.9654006667,middle
WALLABY J130358-164910,NGC5044,34.4590431313,3.11205094847,11.0727760252,middle
WALLABY J133300-224718,NGC5044,35.8314009761,3.21288178868,11.1524180884,middle
WALLABY J132607-171123,NGC5044,42.0554998142,3.75562969292,11.1979889534,middle
WALLABY J133540-251206,NGC5044,49.9050949389,4.43849330902,11.2437017394,middle
WALLABY J133210-252901,NGC5044,46.457465712,4.11595224676,11.2871731562,middle
WALLABY J133031-231420,NGC5044,63.3296040366,5.56076925108,11.3886408835,middle
WALLABY J124935+033620,NGC4808,39.1281626595,3.41332355127,11.4633617563,middle
WALLABY J133739-213902,NGC5044,39.9951276209,3.48750173239,11.4681312555,middle
WALLABY J130535+041627,NGC4808,45.1248962527,3.90635528045,11.5516621027,middle
WALLABY J133939-234522,NGC5044,38.9297956588,3.36242231809,11.5779018743,middle
WALLABY J131753-193408,NGC5044,40.1558401366,3.46719994432,11.5816338202,middle
WALLABY J133725-155412,NGC5044,33.5162706432,2.8848383934,11.6180756329,middle
WALLABY J133611-234050,NGC5044,54.4793400736,4.68435579828,11.6300602302,middle
WALLABY J132812-245827,NGC5044,52.9172859066,4.53265654304,11.6746736498,middle
WALLABY J133217-231924,NGC5044,39.6889362278,3.39908806744,11.6763483147,middle
WALLABY J132911-224640,NGC5044,53.8847369145,4.61246743735,11.6824102601,middle
WALLABY J131451-143740,NGC5044,38.9319573343,3.31775511902,11.7344276288,middle
WALLABY J125652+045727,NGC4808,38.6562059628,3.29134814296,11.7447940126,middle
WALLABY J125814+033205,NGC4808,50.5441423186,4.30097138952,11.7517969177,middle
WALLABY J130444-160813,NGC5044,46.7306069015,3.97370429417,11.7599608431,middle
WALLABY J125413+052149,NGC4808,45.3424309261,3.820356066,11.868640028,middle
WALLABY J130445+062514,NGC4808,44.1097962506,3.70194062685,11.915317045,middle
WALLABY J130153-191443,NGC5044,48.9207467953,4.09051780378,11.9595486787,middle
WALLABY J130043+071159,NGC4808,35.9193468675,3.00068980276,11.970363226,middle
WALLABY J124937+074725,NGC4808,41.1282119918,3.43561363282,11.9711400604,middle
WALLABY J130559-145906,NGC5044,51.0398402861,4.26049414936,11.9797935396,middle
WALLABY J130622-161408,NGC5044,30.8859052661,2.57106363485,12.012890248,middle
WALLABY J130647-162241,NGC5044,41.8289280877,3.46973896876,12.0553530004,middle
WALLABY J130546-133400,NGC5044,28.6095819884,2.37080466322,12.0674564346,middle
WALLABY J130216+063321,NGC4808,47.751096079,3.94879457226,12.0925753936,middle
WALLABY J132558-233802,NGC5044,52.3018943931,4.32491482844,12.0931617079,middle
WALLABY J125604+064914,NGC4808,41.1699402477,3.38729209284,12.1542338598,middle
WALLABY J130954-104332,NGC5044,63.4272400551,5.21278667122,12.1676262728,middle
WALLABY J132807-162439,NGC5044,38.5979478244,3.1636063162,12.2006166275,middle
WALLABY J125121+063829,NGC4808,28.4034749311,2.32612045364,12.2106638488,middle
WALLABY J130401-200110,NGC5044,32.7532306277,2.67441712039,12.2468669446,middle
WALLABY J134219-211125,NGC5044,38.9127108434,3.17381662582,12.2605416226,middle
WALLABY J125134+055147,NGC4808,41.2493335822,3.35265856129,12.3034698667,middle
WALLABY J125441+050734,NGC4808,28.4456784814,2.30730820049,12.3285127125,middle
WALLABY J130337-155652,NGC5044,33.6599849435,2.70427128243,12.4469705248,middle
WALLABY J125848-114647,NGC5044,58.6444452169,4.71001926667,12.450999008,middle
WALLABY J130026-151708,NGC5044,159.269348107,12.7899960169,12.4526503289,middle
WALLABY J130937-150616,NGC5044,40.3962155623,3.24271680951,12.4575218668,middle
WALLABY J130029-133942,NGC5044,35.1096823341,2.81510260791,12.471901463,middle
WALLABY J125939+045140,NGC4808,37.4348382602,2.99323240992,12.5064923579,middle
WALLABY J130703-185253,NGC5044,47.5992579378,3.78203615002,12.5856168608,middle
WALLABY J134241-233218,NGC5044,39.1881451253,3.10505490107,12.6207575627,middle
WALLABY J130430-180121,NGC5044,41.2375291379,3.25847569939,12.6554662186,middle
WALLABY J132542-164457,NGC5044,70.8680118849,5.56016524211,12.7456665043,middle
WALLABY J125114+052031,NGC4808,46.6061567477,3.65381750745,12.7554692189,middle
WALLABY J130826+064302,NGC4808,46.4109698566,3.62781110192,12.7931054161,middle
WALLABY J130355-163807,NGC5044,45.2270580895,3.4864217983,12.9723426212,middle
WALLABY J131915-155513,NGC5044,46.5525275701,3.57427884888,13.0243133058,middle
WALLABY J130320-112144,NGC5044,51.545229377,3.95476980923,13.0336863745,middle
WALLABY J133506-233309,NGC5044,31.6580609546,2.4276474783,13.0406334682,middle
WALLABY J125943-150804,NGC5044,39.851321541,3.03632865323,13.1248379515,middle
WALLABY J130235-113803,NGC5044,99.2616016413,7.54525608439,13.1554980416,middle
WALLABY J134259-182447,NGC5044,45.9646183895,3.48910695447,13.1737487527,middle
WALLABY J133942-250143,NGC5044,52.7015756497,3.98954629772,13.2099170474,middle
WALLABY J133801-225524,NGC5044,91.8544739497,6.9137772449,13.2857149856,middle
WALLABY J133818-233325,NGC5044,35.6858274955,2.68111590729,13.3100651853,middle
WALLABY J133041-233009,NGC5044,69.3905433088,5.16656929909,13.4306808429,middle
WALLABY J132749-240921,NGC5044,33.6338861532,2.49556437894,13.4774668356,middle
WALLABY J133522-223319,NGC5044,38.1789115412,2.82657040367,13.5071503939,middle
WALLABY J131248-173738,NGC5044,41.638602073,3.08268906666,13.5072338379,middle
WALLABY J133523-230609,NGC5044,42.0615022962,3.09251477325,13.601067539,high
WALLABY J130904+081148,NGC4808,34.3081893914,2.51718838452,13.6295676567,high
WALLABY J125647+055350,NGC4808,39.5269274892,2.899547586,13.6321016699,high
WALLABY J130340-211340,NGC5044,40.5679085655,2.94608243433,13.7701199711,high
WALLABY J131738-201111,NGC5044,47.0271042904,3.37712897642,13.9251727188,high
WALLABY J134221-150432,NGC5044,38.5721853768,2.73870506607,14.0840961134,high
WALLABY J133440-234722,NGC5044,77.9777433107,5.51260251391,14.1453593133,high
WALLABY J125912-182326,NGC5044,33.1250013079,2.34030849048,14.1541174775,high
WALLABY J130802+062900,NGC4808,68.3964566175,4.80698106567,14.2285679272,high
WALLABY J130143+040835,NGC4808,33.1999253474,2.32362384775,14.2879947542,high
WALLABY J130535+051140,NGC4808,33.7046478764,2.35080777158,14.3374750943,high
WALLABY J133643-201220,NGC5044,38.738893468,2.69707274749,14.3633105574,high
WALLABY J132531-220703,NGC5044,44.8683950418,3.11969072044,14.3823215384,high
WALLABY J130237+044721,NGC4808,40.4595906523,2.80379361139,14.4303027469,high
WALLABY J125930-135159,NGC5044,33.7894507549,2.32675419888,14.5221402292,high
WALLABY J134115-145751,NGC5044,46.2214251699,3.15744497086,14.6388695912,high
WALLABY J133301-161437,NGC5044,44.0093040652,2.95844640281,14.8758159091,high
WALLABY J130147+053426,NGC4808,41.8995767293,2.79238490236,15.0049431559,high
WALLABY J131150-141025,NGC5044,52.0301738324,3.45528226656,15.0581543904,high
WALLABY J133039-241626,NGC5044,34.0900904401,2.25606911665,15.1103927573,high
WALLABY J130057-172247,NGC5044,46.8196857961,3.02209800303,15.4924445697,high
WALLABY J133115-250859,NGC5044,83.2762879201,5.37259864034,15.5001878039,high
WALLABY J130228+063639,NGC4808,39.677994138,2.55247756015,15.5448944028,high
WALLABY J131516-145919,NGC5044,44.4807350586,2.85640939969,15.5722548257,high
WALLABY J130612-201622,NGC5044,52.5389011203,3.37090546511,15.5859906675,high
WALLABY J131145+075645,NGC4808,50.9685821149,3.26249597897,15.6225731598,high
WALLABY J130939-135908,NGC5044,31.1291418412,1.98635876751,15.6714599348,high
WALLABY J130031+083118,NGC4808,41.9447610368,2.67155164366,15.7005241266,high
WALLABY J130623+052247,NGC4808,46.7700091809,2.97623998219,15.7144616902,high
WALLABY J130419+081330,NGC4808,47.8296205938,3.02681810614,15.8019474301,high
WALLABY J130331+075810,NGC4808,51.1783176113,3.22992836752,15.8450317741,high
WALLABY J131744-185121,NGC5044,40.9724919423,2.57405268684,15.9175032243,high
WALLABY J125156+035954,NGC4808,46.3770911892,2.86791761937,16.1709983843,high
WALLABY J131344-175928,NGC5044,43.1752556492,2.66719526668,16.1875120988,high
WALLABY J131251-183142,NGC5044,34.4218498198,2.11810367681,16.2512582347,high
WALLABY J125243+075643,NGC4808,54.3809232006,3.33570167101,16.3026938749,high
WALLABY J132621-155739,NGC5044,40.6502000657,2.49279594221,16.3070708586,high
WALLABY J133255-154459,NGC5044,39.9917025629,2.44260266606,16.3725779549,high
WALLABY J132358-151422,NGC5044,52.3193744332,3.18950080522,16.4036247765,high
WALLABY J130502-201243,NGC5044,63.7418877313,3.88043806131,16.4264669927,high
WALLABY J130121-194538,NGC5044,38.9487611524,2.35601808073,16.5316053688,high
WALLABY J134015-153211,NGC5044,33.2772382771,2.0021862394,16.6204509961,high
WALLABY J132612-162649,NGC5044,37.2377251671,2.21450076187,16.8154040894,high
WALLABY J131618-190711,NGC5044,41.7694942634,2.48116040332,16.8346609947,high
WALLABY J130614-202212,NGC5044,47.6935070297,2.81037811186,16.9704947631,high
WALLABY J130914-183640,NGC5044,34.2827041233,2.01558832952,17.0087828061,high
WALLABY J130813+034746,NGC4808,38.9288291818,2.26998823971,17.1493528032,high
WALLABY J131104-185724,NGC5044,37.7595932034,2.19597033756,17.194946834,high
WALLABY J130055+070243,NGC4808,40.0400640444,2.32701859265,17.2065939528,high
WALLABY J125627+060352,NGC4808,69.779982182,4.03825677203,17.2797288833,high
WALLABY J130139+072923,NGC4808,35.2883128709,2.0365624535,17.3273904811,high
