galaxy_id,pair_index,rin_arcsec,rout_arcsec,sigma_hi_msun_pc2
WALLABY J125112+045132,2,24,36.0000000001,3.84316097531
WALLABY J125112+045132,3,36.0000000001,48.0000000001,2.94115196611
WALLABY J125112+045132,4,48.0000000001,60.0000000001,0.565003081121
WALLABY J125112+045132,5,60.0000000001,72.0000000001,0.237157209238
WALLABY J125112+045132,6,72.0000000001,84.0000000002,0.0510779481993
WALLABY J125112+045132,7,84.0000000002,96.0000000002,0.0114603358014
WALLABY J125112+045132,8,96.0000000002,108,0.00653685688861
WALLABY J125112+045132,9,108,120,0.0128698169141
WALLABY J125112+045132,10,120,132,0.0111769757417
WALLABY J125112+045132,11,132,144,0.00777048691
WALLABY J125114+052031,0,4.4408920985e-16,12,4.64081570421
WALLABY J125114+052031,1,12,24,2.54480464856
WALLABY J125114+052031,2,24,36.0000000001,2.11891192253
WALLABY J125114+052031,3,36.0000000001,48.0000000001,0.654024725474
WALLABY J125114+052031,4,48.0000000001,60.0000000001,0.434969685288
WALLABY J125114+052031,5,60.0000000001,72.0000000001,0.0127382716499
WALLABY J125121+063829,0,6.00000000001,18,4.70173576683
WALLABY J125121+063829,1,18,30.0000000001,0.923034558245
WALLABY J125121+063829,2,30.0000000001,42.0000000001,0.274067415857
WALLABY J125121+063829,3,42.0000000001,54.0000000001,0.00225701058063
WALLABY J125133+080241,0,6.00000000001,18,4.43453320123
WALLABY J125133+080241,1,18,30.0000000001,2.30022057815
WALLABY J125133+080241,2,30.0000000001,42.0000000001,1.69251792781
WALLABY J125133+080241,3,42.0000000001,54.0000000001,0.646891356636
WALLABY J125133+080241,4,54.0000000001,66.0000000001,0.459183697258
WALLABY J125133+080241,5,66.0000000001,78.0000000002,0.214448730677
WALLABY J125133+080241,6,78.0000000002,90.0000000002,0.117285885404
WALLABY J125133+080241,7,90.0000000002,102,0.0202311940434
WALLABY J125133+080241,8,102,114,0.0104430663439
WALLABY J125133+080241,9,114,126,0.00721452973508
WALLABY J125133+080241,10,126,138,0.00452724449622
WALLABY J125134+055147,0,4.4408920985e-16,12,4.16013109631
WALLABY J125134+055147,1,12,24,2.01012895569
WALLABY J125134+055147,2,24,36.0000000001,1.33658365195
WALLABY J125134+055147,3,36.0000000001,48.0000000001,0.111921406621
WALLABY J125134+055147,4,48.0000000001,60.0000000001,0.0543885263838
WALLABY J125134+055147,5,60.0000000001,72.0000000001,0.00619858868399
WALLABY J125156+035954,0,4.4408920985e-16,12,4.67800095646
WALLABY J125156+035954,1,12,24,2.28881210509
WALLABY J125156+035954,2,24,36.0000000001,1.82084665463
WALLABY J125156+035954,3,36.0000000001,48.0000000001,0.39345865284
WALLABY J125156+035954,4,48.0000000001,60.0000000001,0.294990211571
WALLABY J125156+035954,5,60.0000000001,72.0000000001,0.0144849196341
WALLABY J125156+035954,6,72.0000000001,84.0000000002,0.00577962376395
WALLABY J125156+035954,7,84.0000000002,96.0000000002,0.00263394028876
WALLABY J125156+035954,8,96.0000000002,108,0.00490165079498
WALLABY J125243+075643,0,4.4408920985e-16,12,2.36708595536
WALLABY J125243+075643,1,12,24,1.62349390714
WALLABY J125243+075643,2,24,36.0000000001,1.47021782712
