family,color,luminosity_band,intercept_a,slope_b,relation,color_value_mag,log10_L_band_Lsun,log10_Mstar_Msun
RC15_BC03,g-r,g,-0.984000,2.029000,log10_ML=a+b*color,0.6085140508227571,10.413511435124974,10.664186444244349
RC15_BC03,g-r,r,-0.792000,1.629000,log10_ML=a+b*color,0.6085140508227571,10.480917055454075,10.680186444244347
RC15_BC03,g-r,z,-0.796000,1.306000,log10_ML=a+b*color,0.6085140508227571,10.629843829355883,10.628563179730405
RC15_BC03,g-z,g,-1.132000,1.116000,log10_ML=a+b*color,1.0908309855772735,10.413511435124974,10.498878815029212
RC15_BC03,g-z,r,-0.916000,0.900000,log10_ML=a+b*color,1.0908309855772735,10.480917055454075,10.54666494247362
RC15_BC03,g-z,z,-0.888000,0.716000,log10_ML=a+b*color,1.0908309855772735,10.629843829355883,10.52287881502921
RC15_BC03,r-z,g,-1.211000,2.322000,log10_ML=a+b*color,0.4823169347545164,10.413511435124974,10.32245135762496
RC15_BC03,r-z,r,-0.987000,1.883000,log10_ML=a+b*color,0.4823169347545164,10.480917055454075,10.402119843596829
RC15_BC03,r-z,z,-0.935000,1.483000,log10_ML=a+b*color,0.4823169347545164,10.629843829355883,10.41011984359683
RC15_FSPS,g-r,g,-0.811000,1.897000,log10_ML=a+b*color,0.6085140508227571,10.413511435124974,10.756862589535745
RC15_FSPS,g-r,r,-0.647000,1.497000,log10_ML=a+b*color,0.6085140508227571,10.480917055454075,10.744862589535742
RC15_FSPS,g-r,z,-0.583000,1.102000,log10_ML=a+b*color,0.6085140508227571,10.629843829355883,10.71742631336256
RC15_FSPS,g-z,g,-0.764000,0.942000,log10_ML=a+b*color,1.0908309855772735,10.413511435124974,10.677074223538767
RC15_FSPS,g-z,r,-0.612000,0.744000,log10_ML=a+b*color,1.0908309855772735,10.480917055454075,10.680495308723566
RC15_FSPS,g-z,z,-0.548000,0.542000,log10_ML=a+b*color,1.0908309855772735,10.629843829355883,10.673074223538766
RC15_FSPS,r-z,g,-0.670000,1.795000,log10_ML=a+b*color,0.4823169347545164,10.413511435124974,10.60927033300933
RC15_FSPS,r-z,r,-0.539000,1.421000,log10_ML=a+b*color,0.4823169347545164,10.480917055454075,10.627289419740244
RC15_FSPS,r-z,z,-0.487000,1.021000,log10_ML=a+b*color,0.4823169347545164,10.629843829355883,10.635289419740245
Z17_40LG_FSPS,g-r,g,-0.684000,1.575000,log10_ML=a+b*color,0.6085140508227571,10.413511435124974,10.687921065170817
Z17_40LG_FSPS,g-r,r,-0.491000,1.175000,log10_ML=a+b*color,0.6085140508227571,10.480917055454075,10.704921065170815
Z17_40LG_FSPS,g-r,z,-0.447000,0.911000,log10_ML=a+b*color,0.6085140508227571,10.629843829355883,10.737200129655415
Z17_40LG_FSPS,g-z,g,-0.680000,0.928000,log10_ML=a+b*color,1.0908309855772735,10.413511435124974,10.745802589740684
Z17_40LG_FSPS,g-z,r,-0.486000,0.690000,log10_ML=a+b*color,1.0908309855772735,10.480917055454075,10.747590435502392
Z17_40LG_FSPS,g-z,z,-0.438000,0.528000,log10_ML=a+b*color,1.0908309855772735,10.629843829355883,10.767802589740683
Z17_40LG_FSPS,r-z,g,-0.639000,2.157000,log10_ML=a+b*color,0.4823169347545164,10.413511435124974,10.814869063390466
Z17_40LG_FSPS,r-z,r,-0.453000,1.596000,log10_ML=a+b*color,0.4823169347545164,10.480917055454075,10.797694883322285
Z17_40LG_FSPS,r-z,z,-0.404000,1.196000,log10_ML=a+b*color,0.4823169347545164,10.629843829355883,10.802694883322285
Z17_40LG_BC03,g-r,g,-0.745000,1.616000,log10_ML=a+b*color,0.6085140508227571,10.413511435124974,10.65187014125455
Z17_40LG_BC03,g-r,r,-0.552000,1.216000,log10_ML=a+b*color,0.6085140508227571,10.480917055454075,10.668870141254548
Z17_40LG_BC03,g-r,z,-0.501000,0.937000,log10_ML=a+b*color,0.6085140508227571,10.629843829355883,10.699021494976806
Z17_40LG_BC03,g-z,g,-0.712000,0.920000,log10_ML=a+b*color,1.0908309855772735,10.413511435124974,10.705075941856066
Z17_40LG_BC03,g-z,r,-0.523000,0.687000,log10_ML=a+b*color,1.0908309855772735,10.480917055454075,10.707317942545663
Z17_40LG_BC03,g-z,z,-0.470000,0.520000,log10_ML=a+b*color,1.0908309855772735,10.629843829355883,10.727075941856064
Z17_40LG_BC03,r-z,g,-0.518000,1.084000,log10_ML=a+b*color,0.4823169347545164,10.413511435124974,10.41834299239887
Z17_40LG_BC03,r-z,r,-0.357000,0.794000,log10_ML=a+b*color,0.4823169347545164,10.480917055454075,10.506876701649162
Z17_40LG_BC03,r-z,z,-0.309000,0.403000,log10_ML=a+b*color,0.4823169347545164,10.629843829355883,10.515217554061953
B19_CBe_Chabrier_HUB3_Late_SynR,g-r,g,-0.870000,1.910000,log10_ML=a+b*color,0.6085140508227571,10.413511435124974,10.70577327219644
B19_CBe_Chabrier_HUB3_Late_SynR,g-r,r,-0.680000,1.540000,log10_ML=a+b*color,0.6085140508227571,10.480917055454075,10.738028693721121
B19_CBe_Chabrier_HUB3_Late_SynR,g-r,z,-0.710000,1.270000,log10_ML=a+b*color,0.6085140508227571,10.629843829355883,10.692656673900785
B19_CBe_Chabrier_HUB3_Late_SynR,g-z,g,-1.070000,1.130000,log10_ML=a+b*color,1.0908309855772735,10.413511435124974,10.576150448827292
B19_CBe_Chabrier_HUB3_Late_SynR,g-z,r,-0.850000,0.920000,log10_ML=a+b*color,1.0908309855772735,10.480917055454075,10.634481562185167
B19_CBe_Chabrier_HUB3_Late_SynR,g-z,z,-0.830000,0.750000,log10_ML=a+b*color,1.0908309855772735,10.629843829355883,10.617967068538839
B19_CBe_Chabrier_HUB3_Late_SynR,r-z,g,-1.150000,2.240000,log10_ML=a+b*color,0.4823169347545164,10.413511435124974,10.343901368975091
B19_CBe_Chabrier_HUB3_Late_SynR,r-z,r,-0.920000,1.820000,log10_ML=a+b*color,0.4823169347545164,10.480917055454075,10.438733876707294
B19_CBe_Chabrier_HUB3_Late_SynR,r-z,z,-0.880000,1.460000,log10_ML=a+b*color,0.4823169347545164,10.629843829355883,10.454026554097476
